 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -89.51
 1  0  0.109  100.00 -100.12
 1  1  0.122   44.37   25.38
 1  2  0.000    0.00   -4.59
 1  3  0.182   10.04   -4.89
 2 -2  0.224   19.55  -28.27
 2 -1  0.217   80.42  -75.39
 2  0  0.218   30.88  -30.97
 2  1  0.228   42.99   33.68
 2  2  0.246   27.15  -31.15
 2  3  0.270   15.83   24.66
 2  4  0.298    9.57  -15.39
 2  5  0.329    6.54    4.96
 3 -2  0.326   36.45   43.57
 3 -1  0.324   50.72   44.14
 3  0  0.326   14.48  -10.69
 3  1  0.335    8.02   -1.53
 3  2  0.350   11.36    9.12
 3  3  0.368   14.96  -13.57
 3  4  0.392   14.07   15.15
 3  5  0.418    8.96  -14.23
 4 -3  0.437   25.87  -25.75
 4 -2  0.432   47.09  -52.46
 4 -1  0.431   24.92  -15.93
 4  0  0.435   18.29   16.00
 4  1  0.443    8.65  -12.71
 4  2  0.456   10.57    8.10
 4  4  0.493    3.42   -0.87
 4  5  0.514    4.66    3.80
 4  6  0.539    2.83   -5.25
