 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111     8719    53061  4604         0
 1  0  0.000  0.109  0.109  1660674    71178   692        20
 1  1  0.043  0.115  0.122      843    13230  1625        30
 1  2  0.087  0.121  0.000       26        0   110         5
 1  3  0.130  0.127  0.182        0      549    29       361
 2 -2 -0.087  0.205  0.224      362     2300   164         1
 2 -1 -0.043  0.211  0.217    11909    41161   453       265
 2  0  0.000  0.217  0.218    78352     5882   100       127
 2  1  0.043  0.224  0.228     2428    11103   202       519
 2  2  0.087  0.230  0.246      784     4324   116         4
 2  3  0.130  0.236  0.270      210     1524    11        42
 2  4  0.173  0.242  0.298       32      605    30        97
 2  5  0.217  0.249  0.329        1      226    61        12
 2  6  0.260  0.255  0.363        0      120    20        36
 3 -2 -0.087  0.314  0.326     3077     7846   386       103
 3 -1 -0.043  0.320  0.324     8442    14986   274         9
 3  0  0.000  0.326  0.326     1425     1234    87       145
 3  1  0.043  0.332  0.000      266        0   359         2
 3  2  0.087  0.339  0.350      379      738    36       276
 3  3  0.130  0.345  0.368      257     1312    30         1
 3  4  0.173  0.351  0.392      110     1199    30       221
 3  5  0.217  0.357  0.418       29      649    16       653
 3  6  0.260  0.364  0.446        4      220    31        34
 4 -3 -0.130  0.416  0.437      374     3771   212       103
 4 -2 -0.087  0.422  0.432     5746    13042   328        99
 4 -1 -0.043  0.429  0.431     1443     3632   287        32
 4  0  0.000  0.435  0.435     4813     1870    22      2029
 4  1  0.043  0.441  0.443       83      369    59        19
 4  2  0.087  0.447  0.456       11      693    38       302
 4  3  0.130  0.454  0.000       54        0    30        50
 4  4  0.173  0.460  0.493       50       65    12       253
 4  5  0.217  0.466  0.514       25      122    11        10
 4  6  0.260  0.472  0.539        7       45    50         0
 5 -3 -0.130  0.525  0.541      534     1731   137         1
 5 -2 -0.087  0.531  0.539     1148     1894    52       178
 5 -1 -0.043  0.537  0.540       25      399    21       300
 5  0  0.000  0.544  0.544      339      304     5      2358
 5  1  0.043  0.550  0.551      150      289    16        60
 6 -4 -0.173  0.627  0.652        7      248    17       161
 6 -3 -0.130  0.633  0.648       89      251    14         0
 6 -2 -0.087  0.640  0.646       15      105    19        17
 6 -1 -0.043  0.646  0.648       11       85    16        22
 6  0  0.000  0.652  0.653        4       84     6       161
 6  1  0.043  0.658  0.660        0      106     8       185
 6  2  0.087  0.665  0.671        1        0     6         0
 6  3  0.130  0.671  0.684        0       86     4       376
 6  4  0.173  0.677  0.700        0       81     6       195
 7 -4 -0.173  0.736  0.757      242      707    20        17
 7 -3 -0.130  0.742  0.754      382      470    24       374
 7 -2 -0.087  0.748  0.754        5      128    62         4
 7 -1 -0.043  0.755  0.756       23       91    10        59
 7  0  0.000  0.761  0.760       94       56     3        93
 8  0  0.000  0.870  0.000        3        0     5         0
 9 -5 -0.217  0.947  0.975       57      265    50         3
 9 -4 -0.173  0.953  0.973       85      224    40         0
 9 -3 -0.130  0.960  0.000        1        0    78         0
 9 -2 -0.087  0.966  0.973        3       65    19        10
 9 -1 -0.043  0.972  0.000       11        0    20         0
 9  0  0.000  0.978  0.981        5       34    20         3
 9  1  0.043  0.985  0.000        0        0  10000         0

Total chi^2 =  10435
