 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111     7375    53061  4604         9
 1  0  0.000  0.109  0.109  1566114    71178   692       131
 1  1  0.043  0.115  0.122      851    13230  1625        32
 1  2  0.087  0.121  0.000       29        0   110         5
 1  3  0.130  0.127  0.182        0      549    29       361
 2 -2 -0.087  0.205  0.224      397     2300   164         2
 2 -1 -0.043  0.211  0.217    10757    41161   453       903
 2  0  0.000  0.217  0.218    90647     5882   100       206
 2  1  0.043  0.224  0.228     2985    11103   202       370
 2  2  0.087  0.230  0.246      944     4324   116         1
 2  3  0.130  0.236  0.270      232     1524    11        38
 2  4  0.173  0.242  0.298       30      605    30       133
 2  5  0.217  0.249  0.329        1      226    61        13
 2  6  0.260  0.255  0.363        0      120    20        36
 3 -2 -0.087  0.314  0.326     2414     7846   386         2
 3 -1 -0.043  0.320  0.324     6540    14986   274       206
 3  0  0.000  0.326  0.326      583     1234    87       180
 3  1  0.043  0.332  0.000      388        0   359         3
 3  2  0.087  0.339  0.350      441      738    36       339
 3  3  0.130  0.345  0.368      252     1312    30        17
 3  4  0.173  0.351  0.392       86     1199    30       488
 3  5  0.217  0.357  0.418       16      649    16      1100
 3  6  0.260  0.364  0.446        1      220    31        45
 4 -3 -0.130  0.416  0.437      597     3771   212        46
 4 -2 -0.087  0.422  0.432     6548    13042   328       129
 4 -1 -0.043  0.429  0.431     1782     3632   287        23
 4  0  0.000  0.435  0.435     5648     1870    22      1829
 4  1  0.043  0.441  0.443       46      369    59        28
 4  2  0.087  0.447  0.456       47      693    38       230
 4  3  0.130  0.454  0.000       99        0    30       140
 4  4  0.173  0.460  0.493       65       65    12       373
 4  5  0.217  0.466  0.514       21      122    11         0
 4  6  0.260  0.472  0.539        3       45    50         0
 5 -3 -0.130  0.525  0.541      763     1731   137        21
 5 -2 -0.087  0.531  0.539     1553     1894    52       592
 5 -1 -0.043  0.537  0.540       24      399    21       307
 5  0  0.000  0.544  0.544      791      304     5       943
 5  1  0.043  0.550  0.551      268      289    16         2
 6 -4 -0.173  0.627  0.652        7      248    17       165
 6 -3 -0.130  0.633  0.648       52      251    14        66
 6 -2 -0.087  0.640  0.646        8      105    19        24
 6 -1 -0.043  0.646  0.648        5       85    16        26
 6  0  0.000  0.652  0.653        1       84     6       164
 6  1  0.043  0.658  0.660        0      106     8       185
 6  2  0.087  0.665  0.671        1        0     6         0
 6  3  0.130  0.671  0.684        0       86     4       384
 6  4  0.173  0.677  0.700        0       81     6       195
 7 -4 -0.173  0.736  0.757      395      707    20       540
 7 -3 -0.130  0.742  0.754      533      470    24       877
 7 -2 -0.087  0.748  0.754        5      128    62         4
 7 -1 -0.043  0.755  0.756       46       91    10        37
 7  0  0.000  0.761  0.760      148       56     3        27
 8  0  0.000  0.870  0.000       14        0     5         1
 9 -5 -0.217  0.947  0.975       77      265    50         1
 9 -4 -0.173  0.953  0.973       93      224    40         0
 9 -3 -0.130  0.960  0.000        1        0    78         0
 9 -2 -0.087  0.966  0.973        5       65    19        10
 9 -1 -0.043  0.972  0.000       13        0    20         0
 9  0  0.000  0.978  0.981        4       34    20         3
 9  1  0.043  0.985  0.000        1        0  10000         0

Total chi^2 =  11996
