h  k      q     |F|
1 -1  0.111   60.83
1  0  0.108  100.00
1  1  0.123   26.86
1  3  0.185    7.61
2 -2  0.222   15.06
2 -1  0.215   71.22
2  0  0.217   39.69
2  1  0.228   33.91
2  2  0.246   22.70
2  3  0.271   14.16
2  4  0.301    7.78
3 -2  0.325   29.33
3 -1  0.322   44.18
3  0  0.325   12.03
3  2  0.350   10.48
3  3  0.370   14.87
3  4  0.394    9.99
