 h  k      q   F_exp F_model
 1 -1  0.111   86.34  -74.34
 1  0  0.109  100.00  -93.58
 1  1  0.122   43.11   22.95
 1  3  0.182    8.79   -0.70
 2 -2  0.224   17.97  -16.79
 2 -1  0.217   76.04  -63.47
 2  0  0.218   28.75  -30.75
 2  1  0.228   39.50   29.76
 2  2  0.246   24.65  -23.65
 2  3  0.270   14.63   14.89
 2  4  0.298    9.22   -6.80
 2  5  0.329    5.63    1.71
 2  6  0.363    4.11    0.01
 3 -2  0.326   33.20   33.70
 3 -1  0.324   45.88   40.49
 3  0  0.326   13.17   -3.76
 3  2  0.350   10.18   14.70
 3  3  0.368   13.58  -14.97
 3  4  0.392   12.98   11.57
 3  5  0.418    9.55   -6.83
 3  6  0.446    5.56    2.75
 4 -3  0.437   23.02  -16.31
 4 -2  0.432   42.81  -48.96
 4 -1  0.431   22.59  -17.99
 4  0  0.435   16.21   11.33
 4  1  0.443    7.20   -3.38
 4  2  0.456    9.87   -3.08
 4  4  0.493    3.02   -6.09
 4  5  0.514    4.14    3.98
 4  6  0.539    2.52   -1.65
 5 -3  0.541   15.60  -18.26
 5 -2  0.539   16.31  -21.59
 5 -1  0.540    7.49    1.83
 5  0  0.544    6.54    4.23
 5  1  0.551    6.37   -5.61
 6 -4  0.652    5.91   -1.67
 6 -3  0.648    5.94   -4.40
 6 -2  0.646    3.84   -1.38
 6 -1  0.648    3.45    0.70
 6  0  0.653    3.43   -0.16
 6  1  0.660    3.87   -0.11
 6  3  0.684    3.49   -0.04
 6  4  0.700    3.38   -0.00
 7 -4  0.757    9.97  -12.41
 7 -3  0.754    8.13  -13.21
 7 -2  0.754    4.24    0.94
 7 -1  0.756    3.58    2.05
 7  0  0.760    2.82   -2.33
 9 -5  0.975    6.10   -5.36
 9 -4  0.973    5.60   -5.70
 9 -2  0.973    3.02    0.88
 9  0  0.981    2.19    0.46
