 h  k      q   F_exp F_model
 1 -2  0.000    0.00   -2.21
 1 -1  0.111   86.60  -79.76
 1  0  0.109  100.00  -99.94
 1  1  0.122   44.37   28.75
 1  2  0.000    0.00   -9.05
 1  3  0.182    9.91    1.34
 1  4  0.000    0.00    0.07
 2 -3  0.000    0.00   11.51
 2 -2  0.224   18.41  -23.94
 2 -1  0.217   75.72  -66.10
 2  0  0.218   28.75  -28.88
 2  1  0.228   40.02   33.27
 2  2  0.246   25.27  -30.86
 2  3  0.270   14.74   23.84
 2  4  0.298    8.91  -14.83
 2  5  0.329    6.01    6.89
 2  6  0.000    0.00   -2.72
 3 -3  0.000    0.00    1.03
 3 -2  0.326   33.20   39.21
 3 -1  0.324   46.21   40.59
 3  0  0.326   13.19   -9.74
 3  1  0.335    7.30   -3.04
 3  2  0.350   10.24   10.76
 3  3  0.368   13.49  -14.29
 3  4  0.392   12.68   14.14
 3  5  0.418    8.07  -11.35
 3  6  0.000    0.00    7.42
 4 -4  0.000    0.00   14.35
 4 -3  0.437   23.00  -26.70
 4 -2  0.432   42.73  -51.20
 4 -1  0.431   22.62  -14.64
 4  0  0.435   16.23   15.16
 4  1  0.443    7.24  -10.89
 4  2  0.456    9.97    5.08
 4  3  0.000    0.00    0.30
 4  4  0.493    3.03   -3.96
 4  5  0.514    4.16    5.42
 4  6  0.539    2.53   -4.95
 4  7  0.000    0.00    3.34
 5 -4  0.000    0.00   -1.39
 5 -3  0.541   15.35  -21.53
 5 -2  0.539   16.39  -20.59
 5 -1  0.540    7.66    6.27
 5  0  0.544    6.53    1.06
 5  1  0.551    6.68   -6.39
 5  2  0.000    0.00    9.46
 6 -5  0.000    0.00    1.50
 6 -4  0.652    5.89   -2.94
 6 -3  0.648    5.94   -4.54
 6 -2  0.646    3.88   -0.94
 6 -1  0.648    3.47    1.08
 6  0  0.653    3.43   -0.80
 6  1  0.660    3.84    0.40
 6  2  0.671    0.00   -0.02
 6  3  0.684    3.52   -0.32
 6  4  0.700    3.42    0.57
 6  5  0.000    0.00   -0.72
 7 -5  0.000    0.00   -1.88
 7 -4  0.757    9.97  -15.36
 7 -3  0.754    8.15  -11.82
 7 -2  0.754    4.28    3.95
 7 -1  0.756    3.65   -0.02
 7  0  0.760    2.82   -2.50
 7  1  0.000    0.00    3.74
 7  2  0.000    0.00   -3.73
 9 -6  0.000    0.00   -1.19
 9 -5  0.975    6.14   -6.80
 9 -4  0.973    5.63   -4.71
 9 -3  0.972    0.00    1.89
 9 -2  0.973    3.04   -0.27
 9 -1  0.976    0.00   -0.90
 9  0  0.981    2.19    1.58
 9  1  0.000    0.00   -1.74
