 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -57.18
 1  0  0.109  100.00 -100.39
 1  1  0.122   44.37   39.39
 1  2  0.000    0.00  -25.80
 1  3  0.182   10.04   18.02
 2 -2  0.224   19.55   -7.30
 2 -1  0.217   80.42  -72.57
 2  0  0.218   30.88  -29.62
 2  1  0.228   42.99   26.72
 2  2  0.246   27.15  -25.63
 2  3  0.270   15.83   23.81
 2  4  0.298    9.57  -20.91
 2  5  0.329    6.54   17.07
 3 -2  0.326   36.45   27.47
 3 -1  0.324   50.72   44.73
 3  0  0.326   14.48   -6.22
 3  1  0.335    8.02   -2.79
 3  2  0.350   11.36    8.14
 3  3  0.368   14.96  -11.63
 3  4  0.392   14.07   13.55
 3  5  0.418    8.96  -13.97
 4 -3  0.437   25.87   -1.72
 4 -2  0.432   47.09  -42.77
 4 -1  0.431   24.92  -20.20
 4  0  0.435   18.29   11.99
 4  1  0.443    8.65   -7.21
 4  2  0.456   10.57    2.72
 4  4  0.493    3.42   -5.52
 4  5  0.514    4.66    8.60
 4  6  0.539    2.83  -10.57
 5 -3  0.541   17.38  -14.98
 5 -2  0.539   18.55  -29.17
 5 -1  0.540    8.68    1.42
 5  0  0.544    7.39    2.97
 5  1  0.551    7.56   -4.62
 6 -4  0.652    6.34    0.11
 6 -3  0.648    6.32   -3.71
 6 -2  0.646    4.31   -2.18
 6 -1  0.647    1.38    1.00
 6  0  0.653    4.16   -0.47
 6  1  0.659    1.52    0.08
 6  3  0.684   10.66   -0.39
 6  4  0.700   11.95    0.44
 7 -4  0.757   11.68   -6.32
 7 -3  0.754    9.83  -15.30
 7 -2  0.754    4.89   -0.53
 7 -1  0.756    4.63    2.04
 7  0  0.760    3.44   -2.30
