 h  k      q   F_exp F_model
 1 -2  0.000    0.00   -6.04
 1 -1  0.111   86.60  -65.88
 1  0  0.109  100.00  -86.01
 1  1  0.122   43.16   25.80
 1  2  0.000    0.00   -8.47
 1  3  0.182    8.84    1.69
 1  4  0.000    0.00   -0.58
 2 -3  0.000    0.00   12.15
 2 -2  0.224   18.01  -26.80
 2 -1  0.217   75.72  -64.71
 2  0  0.218   28.75  -29.21
 2  1  0.228   39.73   34.37
 2  2  0.246   24.83  -31.90
 2  3  0.270   14.72   24.57
 2  4  0.298    9.24  -15.31
 2  5  0.329    5.72    7.40
 2  6  0.363    4.17   -3.58
 2  7  0.000    0.00    5.15
 3 -3  0.000    0.00    3.24
 3 -2  0.326   33.20   35.38
 3 -1  0.324   46.21   35.80
 3  0  0.326   13.19   -9.19
 3  1  0.335    0.00   -2.74
 3  2  0.350   10.23   10.06
 3  3  0.368   13.65  -13.35
 3  4  0.392   13.07   13.10
 3  5  0.418    9.59  -10.37
 3  6  0.446    5.63    6.66
 3  7  0.000    0.00   -3.38
 4 -4  0.000    0.00   13.08
 4 -3  0.437   23.00  -28.46
 4 -2  0.432   42.73  -47.84
 4 -1  0.431   22.62  -13.52
 4  0  0.435   16.23   15.29
 4  1  0.443    7.24  -11.40
 4  2  0.456    9.97    5.53
 4  3  0.000    0.00    0.08
 4  4  0.493    3.00   -3.95
 4  5  0.514    4.17    5.50
 4  6  0.539    2.56   -5.00
 4  7  0.000    0.00    3.31
 5 -4  0.000    0.00   -2.15
 5 -3  0.541   15.51  -16.01
 5 -2  0.539   16.33  -15.48
 5 -1  0.540    7.59    5.69
 5  0  0.544    6.54    0.52
 5  1  0.551    6.67   -5.70
 6 -4  0.652    5.90   -5.08
 6 -3  0.648    5.94   -6.34
 6 -2  0.646    3.87   -1.06
 6 -1  0.648    3.46    1.23
 6  0  0.653    3.43   -0.74
 6  1  0.660    3.85    0.25
 6  2  0.671    0.00   -0.01
 6  3  0.684    3.54    0.04
 6  4  0.700    3.43   -0.22
 7 -4  0.757    9.98  -16.64
 7 -3  0.754    8.16  -12.70
 7 -2  0.754    4.28    5.44
 7 -1  0.756    3.65   -0.65
 7  0  0.760    2.82   -3.11
 7  1  0.000    0.00    5.43
 8 -1  0.000    0.00    0.55
 8  0  0.000    0.00   -0.32
 8  1  0.000    0.00    0.08
 9 -6  0.000    0.00   -4.29
 9 -5  0.975    6.15  -13.86
 9 -4  0.973    5.62   -8.50
 9 -3  0.972    0.00    4.19
 9 -2  0.973    3.05   -1.11
 9 -1  0.976    0.00   -1.24
 9  0  0.981    2.18    2.61
 9  1  0.000    0.00   -2.94
