 h  k     qx     qz      q    I_exp   I_model  sigma   chi^2
 1 -2 -0.087  0.096  0.000        2        0  100000         0
 1 -1 -0.043  0.102  0.111      602     1041    24       323
 1  0  0.000  0.109  0.109   134187   181391  2698       306
 1  1  0.043  0.115  0.122      104      290    12       237
 1  2  0.087  0.121  0.000        6        0  100000         0
 1  3  0.130  0.127  0.182        0        4     2         8
 1  4  0.173  0.134  0.000        0        0  100000         0
 2 -3 -0.130  0.199  0.000       13        0  100000         0
 2 -2 -0.087  0.205  0.224      100       45     4       178
 2 -1 -0.043  0.211  0.217     1198     1640    49        83
 2  0  0.000  0.217  0.218     7737     7496   235         1
 2  1  0.043  0.224  0.228      358      478    13        87
 2  2  0.087  0.230  0.246      158       96     6       120
 2  3  0.130  0.236  0.270       64       23     3       217
 2  4  0.173  0.242  0.298       19        7     2        59
 2  5  0.217  0.249  0.329        4        2     1         3
 2  6  0.260  0.255  0.363        1        1     1         0
 2  7  0.303  0.261  0.000        1        0  100000         0
 3 -3 -0.130  0.307  0.000        1        0  100000         0
 3 -2 -0.087  0.314  0.326      266      234     8        14
 3 -1 -0.043  0.320  0.324      555      925    17       479
 3  0  0.000  0.326  0.326      511     1052    17      1036
 3  1  0.043  0.332  0.335        3        0  100000         0
 3  2  0.087  0.339  0.350       23       24     3         0
 3  3  0.130  0.345  0.368       28       29     3         0
 3  4  0.173  0.351  0.392       20       20     2         0
 3  5  0.217  0.357  0.418       10        9     2         1
 3  6  0.260  0.364  0.446        4        3     1         1
 3  7  0.303  0.370  0.000        1        0  100000         0
 4 -4 -0.173  0.410  0.000       24        0  100000         0
 4 -3 -0.130  0.416  0.437      152       99     5        99
 4 -2 -0.087  0.422  0.432      655      522    12       122
 4 -1 -0.043  0.429  0.431      106      297     9       440
 4  0  0.000  0.435  0.435     1061     1194    17        60
 4  1  0.043  0.441  0.443       78       31     3       255
 4  2  0.087  0.447  0.456        9       30     3        52
 4  3  0.130  0.454  0.000        0        0  100000         0
 4  4  0.173  0.460  0.493        2        1     1         3
 4  5  0.217  0.466  0.514        4        2     1         4
 4  6  0.260  0.472  0.539        3        1     0        24
 4  7  0.303  0.479  0.000        1        0  100000         0
 5 -4 -0.173  0.519  0.000        1        0  100000         0
 5 -3 -0.130  0.525  0.541       61       57     4         1
 5 -2 -0.087  0.531  0.539       86       96     5         4
 5 -1 -0.043  0.537  0.540       24       42     3        31
 5  0  0.000  0.544  0.544        1      155     6       640
 5  1  0.043  0.550  0.551       24       33     3         9
 6 -4 -0.173  0.627  0.652        5        7     1         2
 6 -3 -0.130  0.633  0.648       11       10     2         1
 6 -2 -0.087  0.640  0.646        0        6     1        21
 6 -1 -0.043  0.646  0.648        1       10     2        33
 6  0  0.000  0.652  0.653        2       36     3       137
 6  1  0.043  0.658  0.660        0       13     2        53
 6  2  0.087  0.665  0.671        0        0  100000         0
 6  3  0.130  0.671  0.684        0        4     1        14
 6  4  0.173  0.677  0.700        0        3     1        11
 7 -4 -0.173  0.736  0.757       69       25     2       313
 7 -3 -0.130  0.742  0.754       54       22     2       191
 7 -2 -0.087  0.748  0.754       15        9     2        14
 7 -1 -0.043  0.755  0.756        0       14     2        53
 7  0  0.000  0.761  0.760       25       21     2         4
 7  1  0.043  0.767  0.000       31        0  100000         0
 8 -1 -0.043  0.863  0.000        0        0  100000         0
 8  0  0.000  0.870  0.000        0        0  100000         0
 8  1  0.043  0.876  0.000        0        0  100000         0
 9 -6 -0.260  0.941  0.000        4        0  100000         0
 9 -5 -0.217  0.947  0.975       49       10     2       697
 9 -4 -0.173  0.953  0.973       23       10     2        67
 9 -3 -0.130  0.960  0.972        8        0  100000         0
 9 -2 -0.087  0.966  0.973        1        6     1        19
 9 -1 -0.043  0.972  0.976        2        0  100000         0
 9  0  0.000  0.978  0.981       14       10     2         8
 9  1  0.043  0.985  0.000       11        0  100000         0

Total chi^2 =  6536
