h  k        q     |F|
1 -1  0.11087   60.83
1  0  0.10845  100.00
1  1  0.12306   26.86
1  3  0.18445    7.61
2 -2  0.22207   15.06
2 -1  0.21464   71.22
2  0  0.21712   39.69
2  1  0.22760   33.91
2  2  0.24628   22.70
2  3  0.27123   14.16
2  4  0.30077    7.78
3 -2  0.32472   29.33
3 -1  0.32183   44.18
3  0  0.32530   12.03
3  2  0.34996   10.48
3  3  0.36974   14.87
3  4  0.39389    9.99
