h  k       q    |F|
1 -1  0.1095   66.3
1  0  0.1074  100.0
1  1  0.1228   37.7
2 -1  0.2114   94.6
2  0  0.2137   48.5
2  1  0.2248   53.4
3 -2  0.3177   36.7
3 -1  0.3156   56.3
3  0  0.3198    9.1
4 -2  0.4207   38.6
4 -1  0.4205   25.3
4  0  0.4251   10.0
5 -2  0.5247   25.9
5  0  0.5310   10.7
