x z dist ED
 49.7 -44.5 -50.0 -285.590809534
 49.8 -44.4 -49.9 -280.508621162
 49.8 -44.3 -49.8 -275.719857267
 49.9 -44.2 -49.7 -271.216296138
 49.9 -44.2 -49.6 -266.989318218
 50.0 -44.1 -49.5 -263.029962931
 50.0 -44.0 -49.4 -259.328983524
 50.0 -43.9 -49.3 -255.876899668
 50.1 -43.8 -49.2 -252.664047602
 50.1 -43.7 -49.1 -249.680627615
 50.2 -43.6 -49.0 -246.916748706
 50.2 -43.5 -48.9 -244.36247027
 50.3 -43.4 -48.8 -242.007840711
 50.3 -43.4 -48.7 -239.84293288
 50.4 -43.3 -48.6 -237.8578763
 50.4 -43.2 -48.5 -236.04288613
 50.5 -43.1 -48.4 -234.388288875
 50.5 -43.0 -48.3 -232.884544856
 50.5 -42.9 -48.2 -231.522267495
 50.6 -42.8 -48.1 -230.292239474
 50.6 -42.7 -48.0 -229.185425863
 50.7 -42.6 -47.9 -228.192984331
 50.7 -42.6 -47.8 -227.306272563
 50.8 -42.5 -47.7 -226.516853035
 50.8 -42.4 -47.6 -225.816495308
 50.9 -42.3 -47.5 -225.19717601
 50.9 -42.2 -47.4 -224.651076709
 51.0 -42.1 -47.3 -224.170579846
 51.0 -42.0 -47.2 -223.748262961
 51.0 -41.9 -47.1 -223.3768914
 51.1 -41.8 -47.0 -223.049409728
 51.1 -41.8 -46.9 -222.758932048
 51.2 -41.7 -46.8 -222.498731464
 51.2 -41.6 -46.7 -222.262228866
 51.3 -41.5 -46.6 -222.042981281
 51.3 -41.4 -46.5 -221.834669964
 51.4 -41.3 -46.4 -221.631088441
 51.4 -41.2 -46.3 -221.426130679
 51.5 -41.1 -46.2 -221.213779566
 51.5 -41.0 -46.1 -220.988095873
 51.5 -40.9 -46.0 -220.743207829
 51.6 -40.9 -45.9 -220.473301469
 51.6 -40.8 -45.8 -220.172611874
 51.7 -40.7 -45.7 -219.835415406
 51.7 -40.6 -45.6 -219.456023044
 51.8 -40.5 -45.5 -219.028774888
 51.8 -40.4 -45.4 -218.548035902
 51.9 -40.3 -45.3 -218.008192941
 51.9 -40.2 -45.2 -217.403653091
 52.0 -40.1 -45.1 -216.72884333
 52.0 -40.1 -45.0 -215.978211524
 52.0 -40.0 -44.9 -215.146228731
 52.1 -39.9 -44.8 -214.227392777
 52.1 -39.8 -44.7 -213.216233075
 52.2 -39.7 -44.6 -212.107316618
 52.2 -39.6 -44.5 -210.895255079
 52.3 -39.5 -44.4 -209.574712941
 52.3 -39.4 -44.3 -208.14041656
 52.4 -39.3 -44.2 -206.587164073
 52.4 -39.3 -44.1 -204.90983603
 52.5 -39.2 -44.0 -203.103406655
 52.5 -39.1 -43.9 -201.162955603
 52.5 -39.0 -43.8 -199.0836801
 52.6 -38.9 -43.7 -196.860907347
 52.6 -38.8 -43.6 -194.490107055
 52.7 -38.7 -43.5 -191.966903994
 52.7 -38.6 -43.4 -189.287090433
 52.8 -38.5 -43.3 -186.446638356
 52.8 -38.5 -43.2 -183.441711333
 52.9 -38.4 -43.1 -180.268675946
 52.9 -38.3 -43.0 -176.924112663
 53.0 -38.2 -42.9 -173.404826062
 53.0 -38.1 -42.8 -169.70785433
 53.0 -38.0 -42.7 -165.830477948
 53.1 -37.9 -42.6 -161.770227503
 53.1 -37.8 -42.5 -157.524890565
 53.2 -37.7 -42.4 -153.092517588
 53.2 -37.7 -42.3 -148.471426797
 53.3 -37.6 -42.2 -143.660208038
 53.3 -37.5 -42.1 -138.657725584
 53.4 -37.4 -42.0 -133.463119894
 53.4 -37.3 -41.9 -128.075808337
 53.5 -37.2 -41.8 -122.495484904
 53.5 -37.1 -41.7 -116.722118948
 53.5 -37.0 -41.6 -110.755952987
 53.6 -36.9 -41.5 -104.597499639
 53.6 -36.9 -41.4 -98.2475377328
 53.7 -36.8 -41.3 -91.7071076943
 53.7 -36.7 -41.2 -84.9775062627
 53.8 -36.6 -41.1 -78.0602806423
 53.8 -36.5 -41.0 -70.9572221741
 53.9 -36.4 -40.9 -63.670359629
 53.9 -36.3 -40.8 -56.2019522229
 54.0 -36.2 -40.7 -48.554482459
 54.0 -36.1 -40.6 -40.7306489019
 54.1 -36.1 -40.5 -32.7333589908
 54.1 -36.0 -40.4 -24.565721996
 54.1 -35.9 -40.3 -16.2310422222
 54.2 -35.8 -40.2 -7.73281255714
 54.2 -35.7 -40.1  0.92529153761
 54.3 -35.6 -40.0  9.73941750567
 54.3 -35.5 -39.9  18.7055405606
 54.4 -35.4 -39.8  27.8194678617
 54.4 -35.3 -39.7  37.0768419328
 54.5 -35.3 -39.6  46.4731432686
 54.5 -35.2 -39.5  56.0036920784
 54.6 -35.1 -39.4  65.663649133
 54.6 -35.0 -39.3  75.4480156884
 54.6 -34.9 -39.2  85.3516324738
 54.7 -34.8 -39.1  95.3691777412
 54.7 -34.7 -39.0  105.495164391
 54.8 -34.6 -38.9  115.723936193
 54.8 -34.5 -38.8  126.049663149
 54.9 -34.5 -38.7  136.46633603
 54.9 -34.4 -38.6  146.967760168
 55.0 -34.3 -38.5  157.547548564
 55.0 -34.2 -38.4  168.199114403
 55.1 -34.1 -38.3  178.915663065
 55.1 -34.0 -38.2  189.690183752
 55.1 -33.9 -38.1  200.515440835
 55.2 -33.8 -38.0  211.383965044
 55.2 -33.7 -37.9  222.288044649
 55.3 -33.7 -37.8  233.219716755
 55.3 -33.6 -37.7  244.170758864
