 h  k      q   F_exp F_model
 1 -1  0.111   60.80  -56.99
 1  0  0.109  100.00  -99.07
 1  1  0.122   26.90   29.72
 1  3  0.182    7.60    6.61
 2 -2  0.224   15.10  -15.59
 2 -1  0.217   71.20  -72.33
 2  0  0.218   39.70  -40.27
 2  1  0.228   33.90   29.95
 2  2  0.246   22.70  -21.56
 2  3  0.270   14.20   14.20
 2  4  0.298    7.80   -8.78
 3 -2  0.326   29.30   28.57
 3 -1  0.324   44.20   43.63
 3  0  0.326   12.00    1.12
 3  2  0.350   10.50   13.84
 3  3  0.368   14.90  -13.21
 3  4  0.392   10.00   10.66
