 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.044  0.102  0.111      217     3697   321         2
 1  0  0.000  0.108  0.109    88303    10000    97         5
 1  1  0.044  0.115  0.122       66      724    89         3
 1  3  0.133  0.128  0.182        1       58     3        23
 2 -2 -0.089  0.204  0.224       16      228    16         1
 2 -1 -0.044  0.210  0.217      722     5069    56         8
 2  0  0.000  0.217  0.218     7311     1576    27         3
 2  1  0.044  0.223  0.228      131     1149    21       147
 2  2  0.089  0.230  0.246       35      515    14        14
 2  3  0.133  0.236  0.270       10      202     2         0
 2  4  0.177  0.243  0.298        3       61     3        32
 3 -2 -0.089  0.312  0.326       84      858    42         1
 3 -1 -0.044  0.319  0.324      401     1954    36         1
 3  0  0.000  0.325  0.326        4      144    10       200
 3  2  0.089  0.338  0.350       21      110     5       228
 3  3  0.133  0.345  0.368       13      222     5        86
 3  4  0.177  0.351  0.392        7      100     2        31

Total chi^2 =  784
