 h  k      q   F_exp F_model
 1 -1  0.111   60.80  -80.52
 1  0  0.109  100.00 -104.24
 1  1  0.122   26.90   23.42
 1  2  0.000    0.00   -5.14
 1  3  0.182    7.60    1.22
 2 -2  0.224   15.10  -18.82
 2 -1  0.217   71.20  -65.73
 2  0  0.218   39.70  -37.17
 2  1  0.228   33.90   33.96
 2  2  0.246   22.70  -24.56
 2  3  0.270   14.20   14.37
 2  4  0.298    7.80   -8.19
 2  5  0.329    5.63    6.77
 2  6  0.363    4.11   -6.87
 3 -2  0.326   29.30   35.28
 3 -1  0.324   44.20   42.51
 3  0  0.326   12.00   -1.60
 3  1  0.000    0.00  -11.23
 3  2  0.350   10.50   14.78
 3  3  0.368   14.90  -12.57
 3  4  0.392   10.00    8.34
 3  5  0.418    9.55   -4.95
 3  6  0.446    5.56    3.19
 4 -3  0.437   23.02  -18.22
 4 -2  0.432   42.81  -48.74
 4 -1  0.431   22.59  -20.44
 4  0  0.435   16.21   11.58
 4  1  0.443    7.20   -1.95
 4  2  0.456    9.87   -4.80
 4  3  0.000    0.00    7.20
 4  4  0.493    3.02   -6.21
 4  5  0.514    4.14    3.96
 4  6  0.539    2.51   -2.04
 5 -3  0.541   15.59  -15.70
 5 -2  0.539   16.31  -19.46
 5 -1  0.540    7.48    0.50
 5  0  0.544    6.53    5.24
 5  1  0.551    6.37   -5.70
 6 -4  0.652    5.91   -1.75
 6 -3  0.648    5.94   -4.24
 6 -2  0.646    3.83   -1.60
 6 -1  0.648    3.45    0.78
 6  0  0.653    3.42   -0.09
 6  1  0.660    3.87   -0.29
 6  2  0.000    0.00    0.35
 6  3  0.684    3.48   -0.17
 6  4  0.700    3.38   -0.12
 7 -4  0.757    9.97   -9.87
 7 -3  0.754    8.13  -10.81
 7 -2  0.754    4.23    0.16
 7 -1  0.756    3.58    2.27
 7  0  0.760    2.81   -2.06
 8  0  0.000    0.00   -0.86
 9 -5  0.975    6.10   -3.54
 9 -4  0.973    5.60   -3.88
 9 -3  0.000    0.00    0.03
 9 -2  0.973    3.02    0.81
 9 -1  0.000    0.00   -0.72
 9  0  0.981    2.19    0.17
