 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111    11986    53061  4604         6
 1  0  0.000  0.109  0.109  2638640    71178   692         0
 1  1  0.043  0.115  0.122     1437    13230  1625        29
 1  2  0.087  0.121  0.000       56        0   110         9
 1  3  0.130  0.127  0.182        3      549    29       324
 2 -2 -0.087  0.205  0.224      837     2300   164        16
 2 -1 -0.043  0.211  0.217    18399    41161   453       458
 2  0  0.000  0.217  0.218   143417     5882   100       341
 2  1  0.043  0.224  0.228     4378    11103   202       399
 2  2  0.087  0.230  0.246     1294     4324   116         5
 2  3  0.130  0.236  0.270      346     1524    11        30
 2  4  0.173  0.242  0.298       94      605    30         2
 2  5  0.217  0.249  0.329       48      226    61         4
 2  6  0.260  0.255  0.363       43      120    20       146
 3 -2 -0.087  0.314  0.326     5088     7846   386       101
 3 -1 -0.043  0.320  0.324    12689    14986   274         6
 3  0  0.000  0.326  0.326     1428     1234    87       167
 3  1  0.043  0.332  0.000      606        0   359         3
 3  2  0.087  0.339  0.350      680      738    36       383
 3  3  0.130  0.345  0.368      388     1312    30         9
 3  4  0.173  0.351  0.392      152     1199    30       361
 3  5  0.217  0.357  0.418       49      649    16       629
 3  6  0.260  0.364  0.446       18      220    31        13
 4 -3 -0.130  0.416  0.437     1286     3771   212         4
 4 -2 -0.087  0.422  0.432    11753    13042   328       464
 4 -1 -0.043  0.429  0.431     3051     3632   287        14
 4  0  0.000  0.435  0.435    10433     1870    22      1106
 4  1  0.043  0.441  0.443      119      369    59        21
 4  2  0.087  0.447  0.456       49      693    38       259
 4  3  0.130  0.454  0.000      127        0    30       102
 4  4  0.173  0.460  0.493       90       65    12       305
 4  5  0.217  0.466  0.514       35      122    11         2
 4  6  0.260  0.472  0.539        9       45    50         0
 5 -3 -0.130  0.525  0.541      923     1731   137         2
 5 -2 -0.087  0.531  0.539     1946     1894    52       208
 5 -1 -0.043  0.537  0.540       44      399    21       297
 5  0  0.000  0.544  0.544     1116      304     5      1066
 5  1  0.043  0.550  0.551      449      289    16         0
 6 -4 -0.173  0.627  0.652       15      248    17       150
 6 -3 -0.130  0.633  0.648      184      251    14        19
 6 -2 -0.087  0.640  0.646       48      105    19         7
 6 -1 -0.043  0.646  0.648       63       85    16        10
 6  0  0.000  0.652  0.653       24       84     6       150
 6  1  0.043  0.658  0.660        8      106     8       171
 6  2  0.087  0.665  0.671       16        0     6         8
 6  3  0.130  0.671  0.684        6       86     4       301
 6  4  0.173  0.677  0.700        0       81     6       195
 7 -4 -0.173  0.736  0.757      340      707    20         4
 7 -3 -0.130  0.742  0.754      446      470    24        59
 7 -2 -0.087  0.748  0.754        7      128    62         4
 7 -1 -0.043  0.755  0.756       43       91    10        55
 7  0  0.000  0.761  0.760      168       56     3        79
 8  0  0.000  0.870  0.000        0        0     5         0
 9 -5 -0.217  0.947  0.975      197      265    50         5
 9 -4 -0.173  0.953  0.973      206      224    40         5
 9 -3 -0.130  0.960  0.000        3        0    78         0
 9 -2 -0.087  0.966  0.973       10       65    19         9
 9 -1 -0.043  0.972  0.000       30        0    20         0
 9  0  0.000  0.978  0.981       11       34    20         2
 9  1  0.043  0.985  0.000        1        0  10000         0

Total chi^2 =  8525
