 h  k      q   F_exp F_model
 1 -1  0.111   86.34  -39.39
 1  0  0.109  100.00  -63.05
 1  1  0.122   43.11   19.90
 1  2  0.000    0.00   -8.25
 1  3  0.182    8.79    6.93
 2 -2  0.224   17.97  -28.50
 2 -1  0.217   76.04  -53.91
 2  0  0.218   28.75  -30.82
 2  1  0.228   39.50   32.26
 2  2  0.246   24.65  -22.88
 2  3  0.270   14.63   14.84
 2  4  0.298    9.22  -12.04
 2  5  0.329    5.63   10.16
 2  6  0.363    4.11   -3.97
 3 -2  0.326   33.20   29.94
 3 -1  0.324   45.88   27.61
 3  0  0.326   13.17   -2.33
 3  1  0.000    0.00  -11.19
 3  2  0.350   10.18   15.01
 3  3  0.368   13.58  -12.53
 3  4  0.392   12.98    9.02
 3  5  0.418    9.55   -7.06
 3  6  0.446    5.56    5.38
 4 -3  0.437   23.02  -18.00
 4 -2  0.432   42.81  -23.90
 4 -1  0.431   22.59   -7.75
 4  0  0.435   16.21    7.80
 4  1  0.443    7.20   -0.99
 4  2  0.456    9.87   -5.39
 4  3  0.000    0.00    7.78
 4  4  0.493    3.02   -6.84
 4  5  0.514    4.14    5.03
 4  6  0.539    2.52   -3.76
 5 -3  0.541   15.60  -26.59
 5 -2  0.539   16.31  -19.32
 5 -1  0.540    7.49    4.44
 5  0  0.544    6.54    6.41
 5  1  0.551    6.37   -8.23
 6 -4  0.652    5.91    6.93
 6 -3  0.648    5.94    7.81
 6 -2  0.646    3.84    1.53
 6 -1  0.648    3.45   -2.70
 6  0  0.653    3.43    0.80
 6  1  0.660    3.87    1.46
 6  2  0.671    0.00   -1.98
 6  3  0.684    3.49    0.54
 6  4  0.700    3.38    1.54
 7 -4  0.757    9.97  -13.94
 7 -3  0.754    8.13   -7.47
 7 -2  0.754    4.24    2.95
 7 -1  0.756    3.58    1.76
 7  0  0.760    2.82   -3.11
 8  0  0.000    0.00   -0.99
 9 -5  0.975    6.10    2.50
 9 -4  0.973    5.60    1.07
 9 -3  0.000    0.00   -0.73
 9 -2  0.973    3.02   -0.17
 9 -1  0.000    0.00    0.66
 9  0  0.981    2.19   -0.38
 9  1  0.000    0.00   -0.29
