 h  k      q   F_exp F_model
 1 -1  0.111   86.34  -93.07
 1  0  0.109  100.00 -100.45
 1  1  0.122   43.11   20.62
 1  2  0.000    0.00    0.01
 1  3  0.182    8.79   -8.41
 2 -2  0.224   17.97  -22.40
 2 -1  0.217   76.04  -73.90
 2  0  0.218   28.75  -30.65
 2  1  0.228   39.50   28.83
 2  2  0.246   24.65  -23.33
 2  3  0.270   14.63   14.84
 2  4  0.298    9.22   -4.87
 3 -2  0.326   33.20   41.70
 3 -1  0.324   45.88   45.72
 3  0  0.326   13.17   -7.42
 3  1  0.000    0.00   -4.30
 3  2  0.350   10.18   10.46
 3  3  0.368   13.58  -12.97
 3  4  0.392   12.98   12.48
