 h  k      q   F_exp F_model
 1 -1  0.111   86.34  -71.55
 1  0  0.109  100.00  -89.22
 1  1  0.122   43.11   19.93
 1  2  0.000    0.00   -2.30
 1  3  0.182    8.79   -3.70
 2 -2  0.224   17.97  -20.16
 2 -1  0.217   76.04  -59.05
 2  0  0.218   28.75  -31.87
 2  1  0.228   39.50   30.23
 2  2  0.246   24.65  -24.19
 2  3  0.270   14.63   15.03
 2  4  0.298    9.22   -5.24
 2  5  0.329    5.63   -2.37
 2  6  0.363    4.11    5.47
 3 -2  0.326   33.20   33.32
 3 -1  0.324   45.88   39.05
 3  0  0.326   13.17   -4.32
 3  1  0.000    0.00   -6.91
 3  2  0.350   10.18   12.37
 3  3  0.368   13.58  -13.65
 3  4  0.392   12.98   11.70
 3  5  0.418    9.55   -7.85
 3  6  0.446    5.56    3.61
 4 -3  0.437   23.02  -18.85
 4 -2  0.432   42.81  -45.16
 4 -1  0.431   22.59  -19.88
 4  0  0.435   16.21   14.34
 4  1  0.443    7.20   -7.82
 4  2  0.456    9.87    1.58
 4  3  0.000    0.00    3.17
 4  4  0.493    3.02   -5.73
 4  5  0.514    4.14    6.09
 4  6  0.539    2.52   -4.86
 5 -3  0.541   15.60  -17.81
 5 -2  0.539   16.31  -21.41
 5 -1  0.540    7.49    1.93
 5  0  0.544    6.54    4.77
 5  1  0.551    6.37   -8.28
 6 -4  0.652    5.91   -1.81
 6 -3  0.648    5.94   -4.04
 6 -2  0.646    3.84   -1.66
 6 -1  0.648    3.45    1.08
 6  0  0.653    3.43   -0.53
 6  1  0.660    3.87    0.06
 6  2  0.671    0.00    0.30
 6  3  0.684    3.49   -0.53
 6  4  0.700    3.38    0.64
 7 -4  0.757    9.97  -11.99
 7 -3  0.754    8.13  -13.01
 7 -2  0.754    4.24    0.87
 7 -1  0.756    3.58    2.54
 7  0  0.760    2.82   -3.84
 8  0  0.000    0.00    0.10
 9 -5  0.975    6.10   -5.16
 9 -4  0.973    5.60   -5.63
 9 -3  0.000    0.00    0.31
 9 -2  0.973    3.02    1.16
 9 -1  0.000    0.00   -1.72
 9  0  0.981    2.19    1.66
 9  1  0.000    0.00   -1.13
