 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.044  0.102  0.111      237     3697   321         0
 1  0  0.000  0.108  0.109    89518    10000    97         4
 1  1  0.044  0.115  0.122       61      724    89         1
 1  2  0.089  0.122  0.000        6        0    16        80
 1  3  0.133  0.128  0.182        1       58     3        78
 2 -2 -0.089  0.204  0.224       17      228    16         3
 2 -1 -0.044  0.210  0.217      726     5069    56         5
 2  0  0.000  0.217  0.218     7420     1576    27         3
 2  1  0.044  0.223  0.228      136     1149    21       127
 2  2  0.089  0.230  0.246       36      515    14        10
 2  3  0.133  0.236  0.270       11      202     2         0
 2  4  0.177  0.243  0.298        3       61     3        35
 2  5  0.222  0.250  0.329        1       32     8         0
 2  6  0.266  0.256  0.363        0       17     3         0
 3 -2 -0.089  0.312  0.326       90      858    42         0
 3 -1 -0.044  0.319  0.324      411     1954    36         0
 3  0  0.000  0.325  0.326        3      144    10       200
 3  1  0.044  0.332  0.000       26        0    50         5
 3  2  0.089  0.338  0.350       21      110     5       222
 3  3  0.133  0.345  0.368       13      222     5       106
 3  4  0.177  0.351  0.392        6      100     2         9

Total chi^2 =  889
