 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.044  0.102  0.111      253     3697    61         0
 1  0  0.000  0.108  0.108    90875    10000   100         2
 1  1  0.044  0.115  0.123       58      724    27         1
 1  3  0.133  0.128  0.184        1       58     8        18
 2 -2 -0.089  0.204  0.222       16      228    15         0
 2 -1 -0.044  0.210  0.215      719     5069    71         0
 2  0  0.000  0.217  0.217     7552     1576    40         3
 2  1  0.044  0.223  0.228      140     1149    34        40
 2  2  0.089  0.230  0.246       38      515    23         1
 2  3  0.133  0.236  0.271       11      202    14         1
 2  4  0.177  0.243  0.301        4       61     8        13
 3 -2 -0.089  0.312  0.325       91      858    29         0
 3 -1 -0.044  0.319  0.322      425     1954    44         1
 3  0  0.000  0.325  0.325        3      144    12       142
 3  2  0.089  0.338  0.350       21      110    10        53
 3  3  0.133  0.345  0.370       13      222    15        14
 3  4  0.177  0.351  0.394        6      100    10         0

Total chi^2 =  289
