 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111    13349    53061  4604         3
 1  0  0.000  0.109  0.109  2032876    71178   692         1
 1  1  0.043  0.115  0.122      735    13230  1625        39
 1  2  0.087  0.121  0.000        0        0   110         0
 1  3  0.130  0.127  0.182       45      549    29         3
 2 -2 -0.087  0.205  0.224      773     2300   164        60
 2 -1 -0.043  0.211  0.217    17345    41161   453        26
 2  0  0.000  0.217  0.218    94647     5882   100        64
 2  1  0.043  0.224  0.228     2796    11103   202       660
 2  2  0.087  0.230  0.246      941     4324   116        15
 2  3  0.130  0.236  0.270      261     1524    11        15
 2  4  0.173  0.242  0.298       22      605    30       219
 3 -2 -0.087  0.314  0.326     4102     7846   386       138
 3 -1 -0.043  0.320  0.324    10059    14986   274         0
 3  0  0.000  0.326  0.326     3696     1234    87        94
 3  1  0.043  0.332  0.000       92        0   359         0
 3  2  0.087  0.339  0.350      279      738    36         1
 3  3  0.130  0.345  0.368      291     1312    30        14
 3  4  0.173  0.351  0.392      206     1199    30         9

Total chi^2 =  1364
