 h  k      q   F_exp F_model
 1 -1  0.111   86.34  -69.92
 1  0  0.109  100.00 -101.23
 1  1  0.122   43.11   32.68
 1  2  0.000    0.00  -14.18
 1  3  0.182    8.79    5.64
 2 -2  0.224   17.97  -21.14
 2 -1  0.217   76.04  -76.11
 2  0  0.218   28.75  -30.30
 2  1  0.228   39.50   27.34
 2  2  0.246   24.65  -21.61
 2  3  0.270   14.63   14.88
 2  4  0.298    9.22   -8.90
 3 -2  0.326   33.20   37.12
 3 -1  0.324   45.88   42.42
 3  0  0.326   13.17   -5.23
 3  1  0.000    0.00   -6.41
 3  2  0.350   10.18   11.85
 3  3  0.368   13.58  -13.09
 3  4  0.392   12.98   11.48
