 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111    11067    53061  4604         3
 1  0  0.000  0.109  0.109  2278204    71178   692         0
 1  1  0.043  0.115  0.122     1145    13230  1625        31
 1  2  0.087  0.121  0.000       36        0   110         5
 1  3  0.130  0.127  0.182        1      549    29       344
 2 -2 -0.087  0.205  0.224      705     2300   164        13
 2 -1 -0.043  0.211  0.217    16066    41161   453       419
 2  0  0.000  0.217  0.218   124631     5882   100       366
 2  1  0.043  0.224  0.228     3890    11103   202       357
 2  2  0.087  0.230  0.246     1149     4324   116         1
 2  3  0.130  0.236  0.270      297     1524    11        28
 2  4  0.173  0.242  0.298       75      605    30         9
 2  5  0.217  0.249  0.329       37      226    61         2
 2  6  0.260  0.255  0.363       35      120    20       129
 3 -2 -0.087  0.314  0.326     4272     7846   386        86
 3 -1 -0.043  0.320  0.324    10709    14986   274        12
 3  0  0.000  0.326  0.326     1357     1234    87       163
 3  1  0.043  0.332  0.000      507        0   359         3
 3  2  0.087  0.339  0.350      584      738    36       378
 3  3  0.130  0.345  0.368      334     1312    30        10
 3  4  0.173  0.351  0.392      128     1199    30       377
 3  5  0.217  0.357  0.418       40      649    16       678
 3  6  0.260  0.364  0.446       14      220    31        15
 4 -3 -0.130  0.416  0.437     1101     3771   212         4
 4 -2 -0.087  0.422  0.432    10076    13042   328       450
 4 -1 -0.043  0.429  0.431     2540     3632   287        16
 4  0  0.000  0.435  0.435     9027     1870    22      1092
 4  1  0.043  0.441  0.443      109      369    59        20
 4  2  0.087  0.447  0.456       40      693    38       261
 4  3  0.130  0.454  0.000      110        0    30       103
 4  4  0.173  0.460  0.493       79       65    12       321
 4  5  0.217  0.466  0.514       31      122    11         2
 4  6  0.260  0.472  0.539        8       45    50         0
 5 -3 -0.130  0.525  0.541      885     1731   137         8
 5 -2 -0.087  0.531  0.539     1691     1894    52       221
 5 -1 -0.043  0.537  0.540       42      399    21       292
 5  0  0.000  0.544  0.544      840      304     5      1347
 5  1  0.043  0.550  0.551      342      289    16         3
 6 -4 -0.173  0.627  0.652       21      248    17       121
 6 -3 -0.130  0.633  0.648      126      251    14         0
 6 -2 -0.087  0.640  0.646       17      105    19        20
 6 -1 -0.043  0.646  0.648       13       85    16        24
 6  0  0.000  0.652  0.653        3       84     6       163
 6  1  0.043  0.658  0.660        0      106     8       185
 6  2  0.087  0.665  0.671        1        0     6         0
 6  3  0.130  0.671  0.684        0       86     4       384
 6  4  0.173  0.677  0.700        0       81     6       196
 7 -4 -0.173  0.736  0.757      289      707    20         6
 7 -3 -0.130  0.742  0.754      375      470    24        49
 7 -2 -0.087  0.748  0.754        8      128    62         4
 7 -1 -0.043  0.755  0.756       36       91    10        56
 7  0  0.000  0.761  0.760      157       56     3        62
 8  0  0.000  0.870  0.000        4        0     5         0
 9 -5 -0.217  0.947  0.975      203      265    50        14
 9 -4 -0.173  0.953  0.973      224      224    40        18
 9 -3 -0.130  0.960  0.000        5        0    78         0
 9 -2 -0.087  0.966  0.973       12       65    19         8
 9 -1 -0.043  0.972  0.000       45        0    20         1
 9  0  0.000  0.978  0.981       19       34    20         2
 9  1  0.043  0.985  0.000        2        0  10000         0

Total chi^2 =  8883
