x z dist ED
 49.7 -44.5 -50.0 -452.987647725
 49.8 -44.4 -49.9 -449.89798257
 49.8 -44.3 -49.8 -446.772658227
 49.9 -44.2 -49.7 -443.611033564
 49.9 -44.2 -49.6 -440.412417036
 50.0 -44.1 -49.5 -437.176067923
 50.0 -44.0 -49.4 -433.901197698
 50.0 -43.9 -49.3 -430.586971499
 50.1 -43.8 -49.2 -427.232509727
 50.1 -43.7 -49.1 -423.836889754
 50.2 -43.6 -49.0 -420.399147741
 50.2 -43.5 -48.9 -416.918280573
 50.3 -43.4 -48.8 -413.393247895
 50.3 -43.4 -48.7 -409.822974258
 50.4 -43.3 -48.6 -406.206351369
 50.4 -43.2 -48.5 -402.542240437
 50.5 -43.1 -48.4 -398.829474624
 50.5 -43.0 -48.3 -395.066861581
 50.5 -42.9 -48.2 -391.253186084
 50.6 -42.8 -48.1 -387.387212753
 50.6 -42.7 -48.0 -383.467688856
 50.7 -42.6 -47.9 -379.493347194
 50.7 -42.6 -47.8 -375.462909058
 50.8 -42.5 -47.7 -371.375087268
 50.8 -42.4 -47.6 -367.228589265
 50.9 -42.3 -47.5 -363.022120283
 50.9 -42.2 -47.4 -358.754386565
 51.0 -42.1 -47.3 -354.424098642
 51.0 -42.0 -47.2 -350.029974658
 51.0 -41.9 -47.1 -345.570743739
 51.1 -41.8 -47.0 -341.045149403
 51.1 -41.8 -46.9 -336.451953
 51.2 -41.7 -46.8 -331.789937184
 51.2 -41.6 -46.7 -327.057909408
 51.3 -41.5 -46.6 -322.254705434
 51.3 -41.4 -46.5 -317.379192858
 51.4 -41.3 -46.4 -312.43027464
 51.4 -41.2 -46.3 -307.406892633
 51.5 -41.1 -46.2 -302.308031112
 51.5 -41.0 -46.1 -297.132720289
 51.5 -40.9 -46.0 -291.880039809
 51.6 -40.9 -45.9 -286.549122227
 51.6 -40.8 -45.8 -281.13915646
 51.7 -40.7 -45.7 -275.649391195
 51.7 -40.6 -45.6 -270.079138265
 51.8 -40.5 -45.5 -264.427775979
 51.8 -40.4 -45.4 -258.694752397
 51.9 -40.3 -45.3 -252.879588544
 51.9 -40.2 -45.2 -246.981881574
 52.0 -40.1 -45.1 -241.001307847
 52.0 -40.1 -45.0 -234.937625948
 52.0 -40.0 -44.9 -228.790679613
 52.1 -39.9 -44.8 -222.560400575
 52.1 -39.8 -44.7 -216.246811322
 52.2 -39.7 -44.6 -209.850027745
 52.2 -39.6 -44.5 -203.370261704
 52.3 -39.5 -44.4 -196.807823468
 52.3 -39.4 -44.3 -190.163124052
 52.4 -39.3 -44.2 -183.436677437
 52.4 -39.3 -44.1 -176.629102667
 52.5 -39.2 -44.0 -169.741125818
 52.5 -39.1 -43.9 -162.773581833
 52.5 -39.0 -43.8 -155.727416235
 52.6 -38.9 -43.7 -148.603686681
 52.6 -38.8 -43.6 -141.403564388
 52.7 -38.7 -43.5 -134.128335405
 52.7 -38.6 -43.4 -126.779401733
 52.8 -38.5 -43.3 -119.358282295
 52.8 -38.5 -43.2 -111.866613746
 52.9 -38.4 -43.1 -104.306151119
 52.9 -38.3 -43.0 -96.6787683128
 53.0 -38.2 -42.9 -88.9864584115
 53.0 -38.1 -42.8 -81.2313338348
 53.0 -38.0 -42.7 -73.415626318
 53.1 -37.9 -42.6 -65.5416867201
 53.1 -37.8 -42.5 -57.6119846565
 53.2 -37.7 -42.4 -49.6291079572
 53.2 -37.7 -42.3 -41.595761947
 53.3 -37.6 -42.2 -33.5147685485
 53.3 -37.5 -42.1 -25.3890652066
 53.4 -37.4 -42.0 -17.2217036332
 53.4 -37.3 -41.9 -9.01584837416
 53.5 -37.2 -41.8 -0.774775195508
 53.5 -37.1 -41.7  7.49813070773
 53.5 -37.0 -41.6  15.7993766816
 53.6 -36.9 -41.5  24.1253647602
 53.6 -36.9 -41.4  32.4723939894
 53.7 -36.8 -41.3  40.8366629242
 53.7 -36.7 -41.2  49.2142723008
 53.8 -36.6 -41.1  57.6012278782
