 h  k      q   F_exp F_model
 1 -1  0.111   86.34  -79.11
 1  0  0.109  100.00  -99.58
 1  1  0.122   43.11   24.12
 1  2  0.000    0.00   -5.92
 1  3  0.182    8.79    1.46
 2 -2  0.224   17.97  -20.09
 2 -1  0.217   76.04  -65.71
 2  0  0.218   28.75  -32.98
 2  1  0.228   39.50   32.14
 2  2  0.246   24.65  -24.34
 2  3  0.270   14.63   14.91
 2  4  0.298    9.22   -8.59
 2  5  0.329    5.63    6.76
 2  6  0.363    4.11   -7.00
 3 -2  0.326   33.20   39.94
 3 -1  0.324   45.88   43.98
 3  0  0.326   13.17   -4.11
 3  1  0.000    0.00   -9.76
 3  2  0.350   10.18   14.49
 3  3  0.368   13.58  -13.15
 3  4  0.392   12.98    9.20
 3  5  0.418    9.55   -5.62
 3  6  0.446    5.56    3.61
 4 -3  0.437   23.02  -22.56
 4 -2  0.432   42.81  -53.45
 4 -1  0.431   22.59  -18.73
 4  0  0.435   16.21   12.70
 4  1  0.443    7.20   -3.68
 4  2  0.456    9.87   -3.53
 4  3  0.000    0.00    6.72
 4  4  0.493    3.02   -6.35
 4  5  0.514    4.14    4.29
 4  6  0.539    2.52   -2.29
 5 -3  0.541   15.60  -17.74
 5 -2  0.539   16.31  -19.64
 5 -1  0.540    7.49    2.23
 5  0  0.544    6.54    4.50
 5  1  0.551    6.37   -6.28
 6 -4  0.652    5.91   -2.96
 6 -3  0.648    5.94   -5.92
 6 -2  0.646    3.84   -1.70
 6 -1  0.648    3.45    1.06
 6  0  0.653    3.43   -0.27
 6  1  0.660    3.87   -0.21
 6  2  0.671    0.00    0.32
 6  3  0.684    3.49   -0.20
 6  4  0.700    3.38    0.00
 7 -4  0.757    9.97   -9.60
 7 -3  0.754    8.13   -9.23
 7 -2  0.754    4.24    1.13
 7 -1  0.756    3.58    1.68
 7  0  0.760    2.82   -2.20
 8  0  0.000    0.00   -0.42
 9 -5  0.975    6.10   -8.71
 9 -4  0.973    5.60   -7.99
 9 -3  0.000    0.00    1.12
 9 -2  0.973    3.02    1.35
 9 -1  0.000    0.00   -1.85
 9  0  0.981    2.19    0.96
 9  1  0.000    0.00    0.39
