 h  k      q   F_exp F_model
 1 -1  0.111   86.34  -78.47
 1  0  0.109  100.00  -96.08
 1  1  0.122   43.11   20.82
 1  3  0.182    8.79   -4.18
 2 -2  0.224   17.97  -21.12
 2 -1  0.217   76.04  -62.26
 2  0  0.218   28.75  -33.39
 2  1  0.228   39.50   31.68
 2  2  0.246   24.65  -25.03
 2  3  0.270   14.63   15.00
 2  4  0.298    9.22   -4.45
 2  5  0.329    5.63   -3.40
 2  6  0.363    4.11    6.03
 3 -2  0.326   33.20   32.42
 3 -1  0.324   45.88   38.31
 3  0  0.326   13.17   -4.35
 3  1  0.335    0.00   -6.88
 3  2  0.350   10.18   12.36
 3  3  0.368   13.58  -13.60
 3  4  0.392   12.98   11.56
 3  5  0.418    9.55   -7.60
 3  6  0.446    5.56    3.34
 4 -3  0.437   23.02  -18.15
 4 -2  0.432   42.81  -43.66
 4 -1  0.431   22.59  -19.08
 4  0  0.435   16.21   13.93
 4  1  0.443    7.20   -7.57
 4  2  0.456    9.87    1.36
 4  3  0.000    0.00    3.38
 4  4  0.493    3.02   -5.92
 4  5  0.514    4.14    6.23
 4  6  0.539    2.52   -4.90
 5 -3  0.541   15.60  -16.97
 5 -2  0.539   16.31  -20.09
 5 -1  0.540    7.49    1.91
 5  0  0.544    6.54    4.34
 5  1  0.551    6.37   -7.56
 6 -4  0.652    5.91   -3.30
 6 -3  0.648    5.94   -7.75
 6 -2  0.646    3.84   -3.32
 6 -1  0.648    3.45    2.30
 6  0  0.653    3.43   -1.14
 6  1  0.660    3.87    0.02
 6  2  0.671    0.00    0.88
 6  3  0.684    3.49   -1.41
 6  4  0.700    3.38    1.52
 7 -4  0.757    9.97  -11.21
 7 -3  0.754    8.13  -12.16
 7 -2  0.754    4.24    0.91
 7 -1  0.756    3.58    2.36
 7  0  0.760    2.82   -3.64
 9 -5  0.975    6.10   -5.59
 9 -4  0.973    5.60   -6.02
 9 -3  0.972    0.00    0.38
 9 -2  0.973    3.02    1.22
 9 -1  0.976    0.00   -1.84
 9  0  0.981    2.19    1.76
