 h  k      q   F_exp F_model
 1 -1  0.111   86.34  -68.25
 1  0  0.109  100.00  -93.33
 1  1  0.122   43.11   26.71
 1  3  0.182    8.79    8.80
 2 -2  0.224   17.97  -18.05
 2 -1  0.217   76.04  -57.53
 2  0  0.218   28.75  -32.72
 2  1  0.228   39.50   32.76
 2  2  0.246   24.65  -25.68
 2  3  0.270   14.63   14.83
 2  4  0.298    9.22   -5.08
 2  5  0.329    5.63    0.75
 2  6  0.363    4.11   -3.59
 3 -2  0.326   33.20   32.39
 3 -1  0.324   45.88   38.76
 3  0  0.326   13.17   -4.61
 3  1  0.335    0.00   -7.62
 3  2  0.350   10.18   13.15
 3  3  0.368   13.58  -13.85
 3  4  0.392   12.98   11.75
 3  5  0.418    9.55   -9.21
 3  6  0.446    5.56    7.91
 4 -3  0.437   23.02  -20.69
 4 -2  0.432   42.81  -45.58
 4 -1  0.431   22.59  -18.42
 4  0  0.435   16.21   13.61
 4  1  0.443    7.20   -6.75
 4  2  0.456    9.87    0.59
 4  3  0.000    0.00    3.38
 4  4  0.493    3.02   -5.07
 4  5  0.514    4.14    5.51
 4  6  0.539    2.52   -5.99
 5 -3  0.541   15.60  -17.15
 5 -2  0.539   16.31  -20.50
 5 -1  0.540    7.49    2.40
 5  0  0.544    6.54    5.03
 5  1  0.551    6.37   -8.68
 6 -4  0.652    5.91   -2.17
 6 -3  0.648    5.94   -4.00
 6 -2  0.646    3.84   -1.36
 6 -1  0.648    3.45    0.92
 6  0  0.653    3.43   -0.42
 6  1  0.660    3.87   -0.01
 6  2  0.671    0.00    0.35
 6  3  0.684    3.49   -0.58
 6  4  0.700    3.38    0.63
 7 -4  0.757    9.97  -12.46
 7 -3  0.754    8.13  -12.44
 7 -2  0.754    4.24    1.38
 7 -1  0.756    3.58    2.29
 7  0  0.760    2.82   -3.58
 9 -5  0.975    6.10   -5.43
 9 -4  0.973    5.60   -5.27
 9 -3  0.972    0.00    0.63
 9 -2  0.973    3.02    0.98
 9 -1  0.976    0.00   -1.58
 9  0  0.981    2.19    1.42
