 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111     7319    53061  4604        10
 1  0  0.000  0.109  0.109  1575842    71178   692       119
 1  1  0.043  0.115  0.122      866    13230  1625        32
 1  3  0.130  0.127  0.182        0      549    29       361
 2 -2 -0.087  0.205  0.224      402     2300   164         1
 2 -1 -0.043  0.211  0.217    10669    41161   453       933
 2  0  0.000  0.217  0.218    91409     5882   100       224
 2  1  0.043  0.224  0.228     3013    11103   202       357
 2  2  0.087  0.230  0.246      949     4324   116         2
 2  3  0.130  0.236  0.270      231     1524    11        35
 2  4  0.173  0.242  0.298       29      605    30       137
 2  5  0.217  0.249  0.329        1      226    61        13
 2  6  0.260  0.255  0.363        0      120    20        36
 3 -2 -0.087  0.314  0.326     2407     7846   386         1
 3 -1 -0.043  0.320  0.324     6511    14986   274       211
 3  0  0.000  0.326  0.326      538     1234    87       182
 3  1  0.043  0.332  0.335      406        0  10000         0
 3  2  0.087  0.339  0.350      455      738    36       387
 3  3  0.130  0.345  0.368      258     1312    30        10
 3  4  0.173  0.351  0.392       87     1199    30       478
 3  5  0.217  0.357  0.418       16      649    16      1105
 3  6  0.260  0.364  0.446        1      220    31        46
 4 -3 -0.130  0.416  0.437      606     3771   212        44
 4 -2 -0.087  0.422  0.432     6521    13042   328       125
 4 -1 -0.043  0.429  0.431     1798     3632   287        22
 4  0  0.000  0.435  0.435     5692     1870    22      1802
 4  1  0.043  0.441  0.443       43      369    59        29
 4  2  0.087  0.447  0.456       53      693    38       219
 4  3  0.130  0.454  0.000      107        0  10000         0
 4  4  0.173  0.460  0.493       69       65    12       439
 4  5  0.217  0.466  0.514       22      122    11         1
 4  6  0.260  0.472  0.539        3       45    50         0
 5 -3 -0.130  0.525  0.541      760     1731   137        21
 5 -2 -0.087  0.531  0.539     1536     1894    52       560
 5 -1 -0.043  0.537  0.540       22      399    21       309
 5  0  0.000  0.544  0.544      810      304     5       894
 5  1  0.043  0.550  0.551      267      289    16         3
 6 -4 -0.173  0.627  0.652        7      248    17       165
 6 -3 -0.130  0.633  0.648       52      251    14        66
 6 -2 -0.087  0.640  0.646        8      105    19        24
 6 -1 -0.043  0.646  0.648        5       85    16        26
 6  0  0.000  0.652  0.653        1       84     6       165
 6  1  0.043  0.658  0.660        0      106     8       185
 6  2  0.087  0.665  0.671        1        0  10000         0
 6  3  0.130  0.671  0.684        0       86     4       384
 6  4  0.173  0.677  0.700        0       81     6       195
 7 -4 -0.173  0.736  0.757      395      707    20       543
 7 -3 -0.130  0.742  0.754      530      470    24       857
 7 -2 -0.087  0.748  0.754        5      128    62         4
 7 -1 -0.043  0.755  0.756       48       91    10        36
 7  0  0.000  0.761  0.760      149       56     3        26
 9 -5 -0.217  0.947  0.975       77      265    50         1
 9 -4 -0.173  0.953  0.973       93      224    40         0
 9 -3 -0.130  0.960  0.972        1        0  10000         0
 9 -2 -0.087  0.966  0.973        5       65    19        10
 9 -1 -0.043  0.972  0.976       13        0  10000         0
 9  0  0.000  0.978  0.981        3       34    20         3

Total chi^2 =  11835
