 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -53.52
 1  0  0.109  100.00  -90.74
 1  1  0.122   44.37   48.38
 1  2  0.000    0.00  -12.21
 1  3  0.182   10.04   -2.54
 2 -2  0.224   19.55  -34.97
 2 -1  0.217   80.42  -52.47
 2  0  0.218   30.88  -29.72
 2  1  0.228   42.99   77.50
 2  2  0.246   27.15  -63.16
 2  3  0.270   15.83   15.37
 2  4  0.298    9.57   10.38
 2  5  0.329    6.54   -3.92
 3 -2  0.326   36.45   -6.07
 3 -1  0.324   50.72   -1.90
 3  0  0.326   14.48    1.03
 3  1  0.335    8.02    2.93
 3  2  0.350   11.36   -9.09
 3  3  0.368   14.96    9.77
 3  4  0.392   14.07   -1.57
 3  5  0.418    8.96   -4.33
 4 -3  0.437   25.87  -69.62
 4 -2  0.432   47.09  -37.89
 4 -1  0.431   24.92    9.50
 4  0  0.435   18.29   22.45
 4  1  0.443    8.65   -4.45
 4  2  0.456   10.57  -31.41
 4  4  0.493    3.42  -14.63
 4  5  0.514    4.66   -0.57
 4  6  0.539    2.83    1.75
 5 -3  0.541   17.38  -22.93
 5 -2  0.539   18.55    1.91
 5 -1  0.540    8.68   18.15
 5  0  0.544    7.39    1.09
 5  1  0.551    7.56  -24.45
 6 -4  0.652    6.34  -10.45
 6 -3  0.648    6.32   -0.54
 6 -2  0.646    4.31    1.74
 6 -1  0.647    1.38    0.30
 6  0  0.653    4.16   -0.89
 6  1  0.659    1.52   -0.69
 6  3  0.684   10.66    4.24
 6  4  0.700   11.95  -21.41
 7 -4  0.757   11.68  -11.77
 7 -3  0.754    9.83   19.63
 7 -2  0.754    4.89    9.06
 7 -1  0.756    4.63  -11.96
 7  0  0.760    3.44   -8.38
