 h  k      q   F_exp F_model
 1 -2  0.000    0.00  -27.14
 1 -1  0.111   86.60  -64.35
 1  0  0.109  100.00  -93.64
 1  1  0.122   44.37   47.37
 1  2  0.000    0.00   -8.61
 1  3  0.182    9.91   -0.40
 1  4  0.000    0.00   -0.19
 2 -3  0.000    0.00    1.09
 2 -2  0.224   18.41   -2.49
 2 -1  0.217   75.72  -16.27
 2  0  0.218   28.75  -10.54
 2  1  0.228   40.02   67.26
 2  2  0.246   25.27  -73.08
 2  3  0.270   14.74   23.50
 2  4  0.298    8.91    8.53
 2  5  0.329    6.01   -4.51
 2  6  0.000    0.00   -1.78
 3 -3  0.000    0.00  -55.46
 3 -2  0.326   33.20  -36.72
 3 -1  0.324   46.21   -5.30
 3  0  0.326   13.19    2.97
 3  1  0.335    7.30   -0.76
 3  2  0.350   10.24   -0.56
 3  3  0.368   13.49   12.66
 3  4  0.392   12.68   -7.14
 3  5  0.418    8.07   -9.20
 3  6  0.000    0.00    4.45
 4 -4  0.000    0.00  -14.95
 4 -3  0.437   23.00  -29.02
 4 -2  0.432   42.73  -11.86
 4 -1  0.431   22.62   22.54
 4  0  0.435   16.23   19.23
 4  1  0.443    7.24  -19.08
 4  2  0.456    9.97  -27.45
 4  3  0.000    0.00   34.75
 4  4  0.493    3.03   -9.11
 4  5  0.514    4.16   -0.07
 4  6  0.539    2.53   -0.23
 4  7  0.000    0.00   -0.25
 5 -4  0.000    0.00  -19.07
 5 -3  0.541   15.35   -1.54
 5 -2  0.539   16.39   -0.47
 5 -1  0.540    7.66    0.04
 5  0  0.544    6.53   -2.31
 5  1  0.551    6.68   -9.42
 5  2  0.000    0.00    8.80
 6 -5  0.000    0.00  -42.61
 6 -4  0.652    5.89  -14.89
 6 -3  0.648    5.94   18.15
 6 -2  0.646    3.88   13.50
 6 -1  0.648    3.47   -7.18
 6  0  0.653    3.43   -6.94
 6  1  0.660    3.84    1.00
 6  2  0.671    0.00   -0.13
 6  3  0.684    3.52    0.06
 6  4  0.700    3.42   -7.08
 6  5  0.000    0.00   31.40
 7 -5  0.000    0.00    0.34
 7 -4  0.757    9.97   -0.03
 7 -3  0.754    8.15    2.30
 7 -2  0.754    4.28   -3.65
 7 -1  0.756    3.65  -10.34
 7  0  0.760    2.82    3.96
 7  1  0.000    0.00   17.23
 7  2  0.000    0.00   -0.42
 9 -6  0.000    0.00    2.27
 9 -5  0.975    6.14    5.61
 9 -4  0.973    5.63   -4.55
 9 -3  0.972    0.00  -11.63
 9 -2  0.973    3.04    2.19
 9 -1  0.976    0.00   11.97
 9  0  0.981    2.19    0.98
 9  1  0.000    0.00   -6.36
