 h  k      q   F_exp F_model
 1 -2  0.000    0.00   -0.33
 1 -1  0.111   86.60  -56.12
 1  0  0.109  100.00  -99.73
 1  1  0.122   44.37   42.81
 1  2  0.000    0.00  -28.04
 1  3  0.182    9.91   20.11
 1  4  0.000    0.00  -15.52
 2 -3  0.000    0.00   20.46
 2 -2  0.224   18.41  -25.93
 2 -1  0.217   75.72  -78.01
 2  0  0.218   28.75  -28.11
 2  1  0.228   40.02   27.64
 2  2  0.246   25.27  -25.38
 2  3  0.270   14.74   22.04
 2  4  0.298    8.91  -18.21
 2  5  0.329    6.01   14.42
 2  6  0.000    0.00  -11.08
 3 -3  0.000    0.00   -3.50
 3 -2  0.326   33.20   33.68
 3 -1  0.324   46.21   39.17
 3  0  0.326   13.19  -10.03
 3  1  0.335    7.30    0.90
 3  2  0.350   10.24    4.72
 3  3  0.368   13.49   -8.48
 3  4  0.392   12.68   10.78
 3  5  0.418    8.07  -11.81
 3  6  0.000    0.00   11.77
 4 -4  0.000    0.00   11.49
 4 -3  0.437   23.00  -15.17
 4 -2  0.432   42.73  -45.40
 4 -1  0.431   22.62  -16.10
 4  0  0.435   16.23   16.06
 4  1  0.443    7.24  -14.26
 4  2  0.456    9.97   11.11
 4  3  0.000    0.00   -6.96
 4  4  0.493    3.03    2.24
 4  5  0.514    4.16    2.59
 4  6  0.539    2.53   -7.09
 4  7  0.000    0.00   10.87
 5 -4  0.000    0.00    2.50
 5 -3  0.541   15.35  -20.17
 5 -2  0.539   16.39  -20.65
 5 -1  0.540    7.66    4.72
 5  0  0.544    6.53    0.00
 5  1  0.551    6.68   -2.57
 5  2  0.000    0.00    3.97
 6 -5  0.000    0.00    2.04
 6 -4  0.652    5.89   -2.80
 6 -3  0.648    5.94   -8.33
 6 -2  0.646    3.88   -2.92
 6 -1  0.648    3.47    3.01
 6  0  0.653    3.43   -2.71
 6  1  0.660    3.84    2.09
 6  2  0.671    0.00   -1.23
 6  3  0.684    3.52    0.20
 6  4  0.700    3.42    0.88
 6  5  0.000    0.00   -1.89
 7 -5  0.000    0.00    1.92
 7 -4  0.757    9.97  -15.69
 7 -3  0.754    8.15  -15.75
 7 -2  0.754    4.28    3.66
 7 -1  0.756    3.65    0.08
 7  0  0.760    2.82   -2.20
 7  1  0.000    0.00    3.42
 7  2  0.000    0.00   -3.91
 9 -6  0.000    0.00    1.45
 9 -5  0.975    6.14  -12.56
 9 -4  0.973    5.63  -12.65
 9 -3  0.972    0.00    3.08
 9 -2  0.973    3.04    0.06
 9 -1  0.976    0.00   -1.97
 9  0  0.981    2.19    3.18
 9  1  0.000    0.00   -3.75
