 h  k      q   F_exp F_model
 1 -2  0.000    0.00   11.61
 1 -1  0.111   86.60  -58.35
 1  0  0.109  100.00 -100.15
 1  1  0.122   44.37   38.84
 1  2  0.000    0.00  -25.58
 1  3  0.182    9.91   18.24
 1  4  0.000    0.00  -12.77
 2 -3  0.000    0.00    6.38
 2 -2  0.224   18.41   -5.96
 2 -1  0.217   75.72  -70.19
 2  0  0.218   28.75  -27.29
 2  1  0.228   40.02   24.39
 2  2  0.246   25.27  -23.61
 2  3  0.270   14.74   22.40
 2  4  0.298    8.91  -20.34
 2  5  0.329    6.01   17.42
 2  6  0.000    0.00  -13.87
 3 -3  0.000    0.00   -8.24
 3 -2  0.326   33.20   26.91
 3 -1  0.324   46.21   44.68
 3  0  0.326   13.19   -6.77
 3  1  0.335    7.30   -1.70
 3  2  0.350   10.24    6.70
 3  3  0.368   13.49  -10.10
 3  4  0.392   12.68   12.21
 3  5  0.418    8.07  -13.09
 3  6  0.000    0.00   12.81
 4 -4  0.000    0.00    3.92
 4 -3  0.437   23.00   -0.89
 4 -2  0.432   42.73  -45.11
 4 -1  0.431   22.62  -20.84
 4  0  0.435   16.23   12.31
 4  1  0.443    7.24   -7.76
 4  2  0.456    9.97    3.66
 4  3  0.000    0.00    0.31
 4  4  0.493    3.03   -3.96
 4  5  0.514    4.16    7.03
 4  6  0.539    2.53   -9.25
 4  7  0.000    0.00   10.46
 5 -4  0.000    0.00    5.39
 5 -3  0.541   15.35  -13.64
 5 -2  0.539   16.39  -27.79
 5 -1  0.540    7.66    1.64
 5  0  0.544    6.53    2.37
 5  1  0.551    6.68   -3.99
 5  2  0.000    0.00    4.35
 6 -5  0.000    0.00    0.23
 6 -4  0.652    5.89    0.21
 6 -3  0.648    5.94   -3.80
 6 -2  0.646    3.88   -2.22
 6 -1  0.648    3.47    1.01
 6  0  0.653    3.43   -0.51
 6  1  0.660    3.84    0.14
 6  2  0.671    0.00    0.13
 6  3  0.684    3.52   -0.31
 6  4  0.700    3.42    0.39
 6  5  0.000    0.00   -0.37
 7 -5  0.000    0.00    3.07
 7 -4  0.757    9.97   -6.10
 7 -3  0.754    8.15  -15.82
 7 -2  0.754    4.28   -0.44
 7 -1  0.756    3.65    1.91
 7  0  0.760    2.82   -2.23
 7  1  0.000    0.00    1.97
 7  2  0.000    0.00   -1.36
 9 -6  0.000    0.00    1.27
 9 -5  0.975    6.14   -2.00
 9 -4  0.973    5.63   -7.12
 9 -3  0.972    0.00   -0.83
 9 -2  0.973    3.04    1.11
 9 -1  0.976    0.00   -1.03
 9  0  0.981    2.19    0.78
 9  1  0.000    0.00   -0.44
