 h  k      q   F_exp F_model
 1 -2  0.000    0.00    0.12
 1 -1  0.111   86.60  -28.52
 1  0  0.109  100.00 -100.14
 1  1  0.122   44.37   48.93
 1  2  0.000    0.00  -26.05
 1  3  0.182    9.91    8.45
 1  4  0.000    0.00    0.53
 2 -3  0.000    0.00   11.21
 2 -2  0.224   18.41  -21.84
 2 -1  0.217   75.72  -62.78
 2  0  0.218   28.75  -27.90
 2  1  0.228   40.02    7.41
 2  2  0.246   25.27    6.36
 2  3  0.270   14.74   -8.70
 2  4  0.298    8.91    3.83
 2  5  0.329    6.01    0.52
 2  6  0.000    0.00   -1.16
 3 -3  0.000    0.00   -0.78
 3 -2  0.326   33.20   21.79
 3 -1  0.324   46.21   34.21
 3  0  0.326   13.19    2.99
 3  1  0.335    7.30   -6.69
 3  2  0.350   10.24   -1.55
 3  3  0.368   13.49   10.10
 3  4  0.392   12.68  -10.73
 3  5  0.418    8.07    4.70
 3  6  0.000    0.00    1.16
 4 -4  0.000    0.00   -0.87
 4 -3  0.437   23.00   -2.93
 4 -2  0.432   42.73  -26.27
 4 -1  0.431   22.62  -24.43
 4  0  0.435   16.23   12.19
 4  1  0.443    7.24    4.43
 4  2  0.456    9.97  -16.06
 4  3  0.000    0.00   16.88
 4  4  0.493    3.03  -10.34
 4  5  0.514    4.16    3.70
 4  6  0.539    2.53   -0.57
 4  7  0.000    0.00   -0.09
 5 -4  0.000    0.00    2.80
 5 -3  0.541   15.35  -22.33
 5 -2  0.539   16.39  -23.89
 5 -1  0.540    7.66   -2.24
 5  0  0.544    6.53    2.46
 5  1  0.551    6.68   -0.63
 5  2  0.000    0.00   -0.26
 6 -5  0.000    0.00    0.87
 6 -4  0.652    5.89   -0.55
 6 -3  0.648    5.94   -2.83
 6 -2  0.646    3.88   -3.79
 6 -1  0.648    3.47    2.03
 6  0  0.653    3.43    1.43
 6  1  0.660    3.84   -3.82
 6  2  0.671    0.00    2.32
 6  3  0.684    3.52    1.82
 6  4  0.700    3.42   -4.64
 6  5  0.000    0.00    4.11
 7 -5  0.000    0.00    1.45
 7 -4  0.757    9.97  -10.25
 7 -3  0.754    8.15  -15.32
 7 -2  0.754    4.28   -2.52
 7 -1  0.756    3.65    2.62
 7  0  0.760    2.82   -0.65
 7  1  0.000    0.00   -0.20
 7  2  0.000    0.00    0.07
 9 -6  0.000    0.00    0.68
 9 -5  0.975    6.14   -5.30
 9 -4  0.973    5.63  -12.03
 9 -3  0.972    0.00   -3.41
 9 -2  0.973    3.04    3.84
 9 -1  0.976    0.00   -1.14
 9  0  0.981    2.19   -1.02
 9  1  0.000    0.00    1.01
