 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -87.58
 1  0  0.109  100.00 -100.10
 1  1  0.122   44.37   25.16
 1  2  0.000    0.00   -4.26
 1  3  0.182   10.04   -4.04
 2 -2  0.224   19.55  -26.91
 2 -1  0.217   80.42  -68.82
 2  0  0.218   30.88  -30.98
 2  1  0.228   42.99   35.47
 2  2  0.246   27.15  -32.75
 2  3  0.270   15.83   24.68
 2  4  0.298    9.57  -13.39
 2  5  0.329    6.54    1.76
 3 -2  0.326   36.45   41.77
 3 -1  0.324   50.72   42.44
 3  0  0.326   14.48  -10.48
 3  1  0.335    8.02   -2.70
 3  2  0.350   11.36   10.88
 3  3  0.368   14.96  -15.01
 3  4  0.392   14.07   15.39
 3  5  0.418    8.96  -12.80
 4 -3  0.437   25.87  -29.55
 4 -2  0.432   47.09  -52.76
 4 -1  0.431   24.92  -15.66
 4  0  0.435   18.29   16.46
 4  1  0.443    8.65  -12.48
 4  2  0.456   10.57    6.88
 4  4  0.493    3.42   -2.51
 4  5  0.514    4.66    4.43
 4  6  0.539    2.83   -4.35
 5 -3  0.541   17.38  -22.89
 5 -2  0.539   18.55  -21.93
 5 -1  0.540    8.68    7.12
 5  0  0.544    7.39    0.55
 5  1  0.551    7.56   -6.52
 6 -4  0.652    6.34   -3.22
 6 -3  0.648    6.32   -4.64
 6 -2  0.646    4.31   -1.00
 6 -1  0.647    1.38    1.17
 6  0  0.653    4.16   -0.93
 6  1  0.659    1.52    0.57
 6  3  0.684   10.66   -0.18
 6  4  0.700   11.95    0.54
 7 -4  0.757   11.68  -16.11
 7 -3  0.754    9.83  -12.48
 7 -2  0.754    4.89    4.47
 7 -1  0.756    4.63   -0.44
 7  0  0.760    3.44   -2.34
