 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -57.08
 1  0  0.109  100.00 -100.05
 1  1  0.122   44.37   39.86
 1  2  0.000    0.00  -27.80
 1  3  0.182   10.04   21.51
 2 -2  0.224   19.55   -5.17
 2 -1  0.217   80.42  -89.77
 2  0  0.218   30.88  -29.92
 2  1  0.228   42.99   23.97
 2  2  0.246   27.15  -21.60
 2  3  0.270   15.83   19.47
 2  4  0.298    9.57  -17.09
 2  5  0.329    6.54   14.43
 3 -2  0.326   36.45   33.24
 3 -1  0.324   50.72   57.57
 3  0  0.326   14.48   -9.52
 3  1  0.335    8.02   -0.01
 3  2  0.350   11.36    5.29
 3  3  0.368   14.96   -8.88
 3  4  0.392   14.07   11.29
 3  5  0.418    8.96  -12.64
 4 -3  0.437   25.87    1.18
 4 -2  0.432   47.09  -53.08
 4 -1  0.431   24.92  -25.33
 4  0  0.435   18.29   15.20
 4  1  0.443    8.65  -10.60
 4  2  0.456   10.57    6.57
 4  4  0.493    3.42   -1.77
 4  5  0.514    4.66    5.89
 4  6  0.539    2.83   -9.62
