 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -57.35
 1  0  0.109  100.00 -100.02
 1  1  0.122   44.37   39.55
 1  2  0.000    0.00  -27.58
 1  3  0.182   10.04   21.45
 2 -2  0.224   19.55   -4.51
 2 -1  0.217   80.42  -91.13
 2  0  0.218   30.88  -29.91
 2  1  0.228   42.99   23.59
 2  2  0.246   27.15  -21.13
 2  3  0.270   15.83   19.02
 2  4  0.298    9.57  -16.73
 2  5  0.329    6.54   14.20
 3 -2  0.326   36.45   32.28
 3 -1  0.324   50.72   57.32
 3  0  0.326   14.48   -9.61
 3  1  0.335    8.02    0.34
 3  2  0.350   11.36    4.80
 3  3  0.368   14.96   -8.35
 3  4  0.392   14.07   10.79
 3  5  0.418    8.96  -12.27
 4 -3  0.437   25.87    1.70
 4 -2  0.432   47.09  -52.89
 4 -1  0.431   24.92  -25.90
 4  0  0.435   18.29   15.62
 4  1  0.443    8.65  -11.14
 4  2  0.456   10.57    7.23
 4  4  0.493    3.42   -1.14
 4  5  0.514    4.66    5.48
 4  6  0.539    2.83   -9.57
