 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111     5561    53061  4604        24
 1  0  0.000  0.109  0.109  1500096    71178   692       134
 1  1  0.043  0.115  0.122     1098    13230  1625        23
 1  3  0.130  0.127  0.182       19      549    29       102
 2 -2 -0.087  0.205  0.224      519     2300   164        12
 2 -1 -0.043  0.211  0.217     9257    41161   453      1317
 2  0  0.000  0.217  0.218    85776     5882   100       179
 2  1  0.043  0.224  0.228     2690    11103   202       458
 2  2  0.087  0.230  0.246      855     4324   116         1
 2  3  0.130  0.236  0.270      216     1524    11         6
 2  4  0.173  0.242  0.298       29      605    30       127
 2  5  0.217  0.249  0.329        3      226    61        10
 2  6  0.260  0.255  0.363        9      120    20         0
 3 -2 -0.087  0.314  0.326     2216     7846   386         0
 3 -1 -0.043  0.320  0.324     5927    14986   274       275
 3  0  0.000  0.326  0.326     1063     1234    87       161
 3  1  0.043  0.332  0.335      219        0  10000         0
 3  2  0.087  0.339  0.350      343      738    36       124
 3  3  0.130  0.345  0.368      280     1312    30         4
 3  4  0.173  0.351  0.392      174     1199    30         7
 3  5  0.217  0.357  0.418       99      649    16        66
 3  6  0.260  0.364  0.446       62      220    31       131
 4 -3 -0.130  0.416  0.437      659     3771   212        26
 4 -2 -0.087  0.422  0.432     5274    13042   328        10
 4 -1 -0.043  0.429  0.431     1867     3632   287        17
 4  0  0.000  0.435  0.435     8281     1870    22       450
 4  1  0.043  0.441  0.443      338      369    59         1
 4  2  0.087  0.447  0.456       11      693    38       303
 4  3  0.130  0.454  0.000        8        0  10000         0
 4  4  0.173  0.460  0.493       27       65    12        29
 4  5  0.217  0.466  0.514       32      122    11        40
 4  6  0.260  0.472  0.539       33       45    50        15
 5 -3 -0.130  0.525  0.541      743     1731   137        24
 5 -2 -0.087  0.531  0.539     1459     1894    52       535
 5 -1 -0.043  0.537  0.540       25      399    21       304
 5  0  0.000  0.544  0.544      938      304     5       514
 5  1  0.043  0.550  0.551      524      289    16       236
 6 -4 -0.173  0.627  0.652        7      248    17       167
 6 -3 -0.130  0.633  0.648       39      251    14       102
 6 -2 -0.087  0.640  0.646        9      105    19        23
 6 -1 -0.043  0.646  0.648       10       85    16        24
 6  0  0.000  0.652  0.653       11       84     6       155
 6  1  0.043  0.658  0.660        0      106     8       186
 6  2  0.087  0.665  0.671        0        0  10000         0
 6  3  0.130  0.671  0.684        1       86     4       359
 6  4  0.173  0.677  0.700        1       81     6       176
 7 -4 -0.173  0.736  0.757      344      707    20       316
 7 -3 -0.130  0.742  0.754      488      470    24       748
 7 -2 -0.087  0.748  0.754        7      128    62         4
 7 -1 -0.043  0.755  0.756       49       91    10        33
 7  0  0.000  0.761  0.760      306       56     3       145
 9 -5 -0.217  0.947  0.975       67      265    50         2
 9 -4 -0.173  0.953  0.973       87      224    40         0
 9 -3 -0.130  0.960  0.972        1        0  10000         0
 9 -2 -0.087  0.966  0.973        6       65    19         9
 9 -1 -0.043  0.972  0.976       32        0  10000         0
 9  0  0.000  0.978  0.981       42       34    20         1

Total chi^2 =  8112
