 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -89.10
 1  0  0.109  100.00 -100.11
 1  1  0.122   44.37   24.68
 1  2  0.000    0.00   -3.83
 1  3  0.182   10.04   -4.43
 2 -2  0.224   19.55  -26.59
 2 -1  0.217   80.42  -69.30
 2  0  0.218   30.88  -30.97
 2  1  0.228   42.99   35.40
 2  2  0.246   27.15  -32.77
 2  3  0.270   15.83   24.79
 2  4  0.298    9.57  -13.48
 2  5  0.329    6.54    1.61
 3 -2  0.326   36.45   42.08
 3 -1  0.324   50.72   42.79
 3  0  0.326   14.48  -10.55
 3  1  0.335    8.02   -2.55
 3  2  0.350   11.36   10.66
 3  3  0.368   14.96  -14.79
 3  4  0.392   14.07   15.23
 3  5  0.418    8.96  -12.74
 4 -3  0.437   25.87  -29.49
 4 -2  0.432   47.09  -53.52
 4 -1  0.431   24.92  -15.82
 4  0  0.435   18.29   16.45
 4  1  0.443    8.65  -12.48
 4  2  0.456   10.57    6.96
 4  4  0.493    3.42   -2.22
 4  5  0.514    4.66    4.07
 4  6  0.539    2.83   -3.96
 5 -3  0.541   17.38  -22.89
 5 -2  0.539   18.55  -22.11
 5 -1  0.540    8.68    7.12
 5  0  0.544    7.39    0.50
 5  1  0.551    7.56   -6.44
