 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -54.97
 1  0  0.109  100.00  -96.63
 1  1  0.122   44.37   42.34
 1  2  0.000    0.00  -31.64
 1  3  0.182   10.04   26.09
 2 -2  0.224   19.55  -10.00
 2 -1  0.217   80.42 -125.93
 2  0  0.218   30.88  -31.82
 2  1  0.228   42.99   25.94
 2  2  0.246   27.15  -22.62
 2  3  0.270   15.83   19.23
 2  4  0.298    9.57  -15.53
 2  5  0.329    6.54   11.69
 3 -2  0.326   36.45   35.02
 3 -1  0.324   50.72   55.11
 3  0  0.326   14.48  -12.68
 3  1  0.335    8.02    3.09
 3  2  0.350   11.36    2.43
 3  3  0.368   14.96   -6.16
 3  4  0.392   14.07    8.53
 3  5  0.418    8.96   -9.60
 4 -3  0.437   25.87   -1.28
 4 -2  0.432   47.09  -69.40
 4 -1  0.431   24.92  -27.70
 4  0  0.435   18.29   21.49
 4  1  0.443    8.65  -18.45
 4  2  0.456   10.57   14.71
 4  4  0.493    3.42    3.13
 4  5  0.514    4.66    4.32
 4  6  0.539    2.83  -12.13
