x z dist ED
 30.2 -44.6 -50.0 -285.897709677
 30.2 -44.5 -49.9 -279.744813513
 30.2 -44.4 -49.8 -273.727290473
 30.2 -44.3 -49.7 -267.863443729
 30.1 -44.3 -49.6 -262.170676351
 30.1 -44.2 -49.5 -256.665275006
 30.1 -44.1 -49.4 -251.362204729
 30.1 -44.0 -49.3 -246.27491681
 30.1 -43.9 -49.2 -241.415171681
 30.0 -43.8 -49.1 -236.792878573
 30.0 -43.7 -49.0 -232.415953488
 30.0 -43.6 -48.9 -228.290196875
 30.0 -43.5 -48.8 -224.419192181
 30.0 -43.4 -48.7 -220.804226232
 29.9 -43.3 -48.6 -217.444232203
 29.9 -43.2 -48.5 -214.335755655
 29.9 -43.1 -48.4 -211.472943956
 29.9 -43.0 -48.3 -208.847559101
 29.9 -42.9 -48.2 -206.449013774
 29.8 -42.8 -48.1 -204.264430209
 29.8 -42.7 -48.0 -202.27872123
 29.8 -42.6 -47.9 -200.474692609
 29.8 -42.5 -47.8 -198.833165672
 29.8 -42.4 -47.7 -197.333118897
 29.7 -42.3 -47.6 -195.951847074
 29.7 -42.2 -47.5 -194.665136386
 29.7 -42.1 -47.4 -193.447453694
 29.7 -42.0 -47.3 -192.272148088
 29.7 -41.9 -47.2 -191.111662743
 29.6 -41.8 -47.1 -189.937754942
 29.6 -41.7 -47.0 -188.721722124
 29.6 -41.6 -46.9 -187.434631733
 29.6 -41.5 -46.8 -186.047552606
 29.5 -41.4 -46.7 -184.531785682
 29.5 -41.3 -46.6 -182.859091764
 29.5 -41.2 -46.5 -181.001914176
 29.5 -41.1 -46.4 -178.933594164
 29.5 -41.0 -46.3 -176.628577005
 29.4 -40.9 -46.2 -174.062606887
 29.4 -40.8 -46.1 -171.212908731
 29.4 -40.7 -46.0 -168.058355286
 29.4 -40.6 -45.9 -164.579617974
 29.4 -40.5 -45.8 -160.759300137
 29.3 -40.4 -45.7 -156.582051525
 29.3 -40.3 -45.6 -152.034663053
 29.3 -40.2 -45.5 -147.106141078
 29.3 -40.1 -45.4 -141.787760633
 29.3 -40.0 -45.3 -136.073097297
 29.2 -39.9 -45.2 -129.958037591
