x z ED
 77.0 -5.2 -350.0
 78.0 -5.2 -364.4
 79.0 -5.1 -376.3
 80.0 -5.1 -385.8
 81.0 -5.0 -393.1
 82.0 -4.9 -398.5
 83.0 -4.9 -402.1
 84.0 -4.9 -404.3
 85.0 -4.8 -405.2
 86.0 -4.9 -405.3
 87.0 -5.1 -405.0
 88.0 -6.4 -407.3
 89.0 -7.6 -419.0
 90.0 -8.0 -436.0
 91.0 -8.2 -454.9
 92.0 -8.3 -475.0
 93.0 -8.4 -495.8
 94.0 -8.3 -517.1
 95.0 -8.3 -538.8
 96.0 -8.2 -560.5
 97.0 -8.3 -582.3
 98.0 -8.2 -604.0
 99.0 -8.1 -625.3
 100.0 -8.1 -646.3
 101.0 -8.0 -666.7
 102.0 -7.9 -686.7
 103.0 -7.8 -705.9
 104.0 -7.7 -724.5
 105.0 -7.7 -742.4
 106.0 -7.6 -759.3
 107.0 -7.5 -775.4
 108.0 -7.4 -790.6
 109.0 -7.4 -804.6
 110.0 -7.4 -817.3
 111.0 -7.2 -828.8
 112.0 -7.2 -838.8
 113.0 -7.1 -847.2
 114.0 -7.1 -853.7
 115.0 -7.0 -858.4
 116.0 -6.9 -861.0
 117.0 -6.9 -861.3
 118.0 -6.8 -859.5
 119.0 -6.7 -855.3
 120.0 -6.6 -849.0
 121.0 -6.4 -840.5
 122.0 -6.3 -830.1
 123.0 -6.2 -818.1
 124.0 -5.9 -804.8
 125.0 -5.8 -791.1
 126.0 -5.5 -777.4
 127.0 -5.2 -764.5
 128.0 -4.9 -753.2
 129.0 -4.5 -744.0
 130.0 -4.1 -737.2
 131.0 -3.7 -732.6
 132.0 -3.4 -729.6
 133.0 -3.1 -727.5
 134.0 -2.8 -725.7
 135.0 -2.6 -723.6
 136.0 -2.4 -721.1
 137.0 -2.1 -718.1
 138.0 -1.9 -714.4
 139.0 -1.6 -710.2
 140.0 -1.4 -705.7
 141.0 -1.2 -701.3
 142.0 -0.9 -697.3
 143.0 -0.6 -694.0
 144.0 -0.3 -691.9
 145.0  0.0 -691.2
