 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -57.53
 1  0  0.109  100.00 -100.32
 1  1  0.122   44.37   39.40
 1  2  0.000    0.00  -26.02
 1  3  0.182   10.04   18.46
 2 -2  0.224   19.55   -7.01
 2 -1  0.217   80.42  -73.77
 2  0  0.218   30.88  -29.12
 2  1  0.228   42.99   26.03
 2  2  0.246   27.15  -24.91
 2  3  0.270   15.83   23.23
 2  4  0.298    9.57  -20.58
 2  5  0.329    6.54   17.08
 3 -2  0.326   36.45   35.16
 3 -1  0.324   50.72   57.37
 3  0  0.326   14.48   -8.36
 3  1  0.335    8.02   -2.88
 3  2  0.350   11.36    9.51
 3  3  0.368   14.96  -13.92
 3  4  0.392   14.07   16.47
 3  5  0.418    8.96  -17.28
 4 -3  0.437   25.87   -1.43
 4 -2  0.432   47.09  -44.05
 4 -1  0.431   24.92  -20.54
 4  0  0.435   18.29   12.27
 4  1  0.443    8.65   -7.59
 4  2  0.456   10.57    3.24
 4  4  0.493    3.42   -4.92
 4  5  0.514    4.66    8.13
 4  6  0.539    2.83  -10.36
 5 -3  0.541   17.38  -14.49
 5 -2  0.539   18.55  -28.44
 5 -1  0.540    8.68    1.58
 5  0  0.544    7.39    2.62
 5  1  0.551    7.56   -4.25
