 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -54.33
 1  0  0.109  100.00 -100.04
 1  1  0.122   44.37   47.29
 1  2  0.000    0.00  -32.49
 1  3  0.182   10.04   21.68
 2 -2  0.224   19.55  -21.75
 2 -1  0.217   80.42  -88.21
 2  0  0.218   30.88  -30.17
 2  1  0.228   42.99   30.66
 2  2  0.246   27.15  -27.34
 2  3  0.270   15.83   21.43
 2  4  0.298    9.57  -14.51
 2  5  0.329    6.54    8.14
 3 -2  0.326   36.45   42.70
 3 -1  0.324   50.72   50.05
 3  0  0.326   14.48  -10.14
 3  1  0.335    8.02   -4.48
 3  2  0.350   11.36   13.81
 3  3  0.368   14.96  -18.92
 3  4  0.392   14.07   19.90
 3  5  0.418    8.96  -17.41
