 h  k     qx     qz      q    I_model   I_exp  sigma   chi^2
 1 -1 -0.043  0.102  0.111     8270    53061  4604         4
 1  0  0.000  0.109  0.109  1620892    71178   692        62
 1  1  0.043  0.115  0.122      653    13230  1625        39
 1  3  0.130  0.127  0.182       10      549    29       216
 2 -2 -0.087  0.205  0.224      599     2300   164        29
 2 -1 -0.043  0.211  0.217    10732    41161   453       898
 2  0  0.000  0.217  0.218    97873     5882   100       419
 2  1  0.043  0.224  0.228     2943    11103   202       385
 2  2  0.087  0.230  0.246      944     4324   116         1
 2  3  0.130  0.236  0.270      232     1524    11        48
 2  4  0.173  0.242  0.298       16      605    30       248
 2  5  0.217  0.249  0.329        8      226    61         6
 2  6  0.260  0.255  0.363       20      120    20        47
 3 -2 -0.087  0.314  0.326     2161     7846   386         1
 3 -1 -0.043  0.320  0.324     6155    14986   274       275
 3  0  0.000  0.326  0.326     1106     1234    87       161
 3  1  0.043  0.332  0.335      206        0  10000         0
 3  2  0.087  0.339  0.350      339      738    36        93
 3  3  0.130  0.345  0.368      279     1312    30         0
 3  4  0.173  0.351  0.392      154     1199    30        67
 3  5  0.217  0.357  0.418       54      649    16       222
 3  6  0.260  0.364  0.446        9      220    31        20
 4 -3 -0.130  0.416  0.437      599     3771   212        45
 4 -2 -0.087  0.422  0.432     5276    13042   328         3
 4 -1 -0.043  0.429  0.431     2046     3632   287        13
 4  0  0.000  0.435  0.435     8522     1870    22       476
 4  1  0.043  0.441  0.443      331      369    59         0
 4  2  0.087  0.447  0.456        5      693    38       317
 4  3  0.130  0.454  0.000       23        0  10000         0
 4  4  0.173  0.460  0.493       53       65    12       221
 4  5  0.217  0.466  0.514       47      122    11       184
 4  6  0.260  0.472  0.539       25       45    50         6
 5 -3 -0.130  0.525  0.541      661     1731   137         5
 5 -2 -0.087  0.531  0.539     1405     1894    52       352
 5 -1 -0.043  0.537  0.540       26      399    21       304
 5  0  0.000  0.544  0.544      662      304     5      1306
 5  1  0.043  0.550  0.551      412      289    16        53
 6 -4 -0.173  0.627  0.652       22      248    17        96
 6 -3 -0.130  0.633  0.648      166      251    14       148
 6 -2 -0.087  0.640  0.646       46      105    19         2
 6 -1 -0.043  0.646  0.648       45       85    16         9
 6  0  0.000  0.652  0.653       38       84     6       131
 6  1  0.043  0.658  0.660        0      106     8       186
 6  2  0.087  0.665  0.671        3        0  10000         0
 6  3  0.130  0.671  0.684        6       86     4       271
 6  4  0.173  0.677  0.700        5       81     6       124
 7 -4 -0.173  0.736  0.757      303      707    20        93
 7 -3 -0.130  0.742  0.754      480      470    24       614
 7 -2 -0.087  0.748  0.754        4      128    62         4
 7 -1 -0.043  0.755  0.756       55       91    10        29
 7  0  0.000  0.761  0.760      333       56     3       185
 9 -5 -0.217  0.947  0.975       77      265    50         1
 9 -4 -0.173  0.953  0.973      113      224    40         1
 9 -3 -0.130  0.960  0.972        1        0  10000         0
 9 -2 -0.087  0.966  0.973        9       65    19         8
 9 -1 -0.043  0.972  0.976       43        0  10000         0
 9  0  0.000  0.978  0.981       60       34    20         0

Total chi^2 =  8427
