 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -91.90
 1  0  0.109  100.00 -100.08
 1  1  0.122   44.37   27.79
 1  2  0.000    0.00   -8.13
 1  3  0.182   10.04   -1.65
 2 -2  0.224   19.55  -12.49
 2 -1  0.217   80.42  -85.48
 2  0  0.218   30.88  -30.27
 2  1  0.228   42.99   35.63
 2  2  0.246   27.15  -35.75
 2  3  0.270   15.83   25.68
 2  4  0.298    9.57   -7.12
 2  5  0.329    6.54  -11.25
 3 -2  0.326   36.45   40.39
 3 -1  0.324   50.72   49.21
 3  0  0.326   14.48  -10.16
 3  1  0.335    8.02   -2.73
 3  2  0.350   11.36   10.73
 3  3  0.368   14.96  -13.18
 3  4  0.392   14.07    9.90
 3  5  0.418    8.96   -3.82
