# These are uncorrected intensity. Should be run by ripintensity.py
h  k       q            I        sigma 
1 -1  0.1109     54.94194     0.074546
1  0  0.1085  22500.00000    20.610891
1  1  0.1222     17.17441     0.041679
1  2  0.1496      0.07727     0.002796
1  3  0.1825      0.26288     0.005156

2 -2  0.2235      2.90792     0.017150
2 -1  0.2161    127.74609     0.880484
2  0  0.2179    657.84683     1.998067
2  1  0.2284     46.00073     0.068211
2  2  0.2463      8.92503     0.030045
2  3  0.2699      2.08763     0.014531
2  4  0.2986      0.85215     0.009284

3 -2  0.3262     24.05227     0.049323
3 -1  0.3236     79.16616     0.089483
3  0  0.3265     92.90165     0.096936
3  2  0.3500      2.67731     0.016456
3  3  0.3688      3.46219     0.018713
3  4  0.3916      2.94736     0.017266
