h	k	q	I	sigma
1  -1	0.111	53060.7	4604.4
1	0	0.109	71177.9	692
1	1	0.122	13230.2	1624.8
1   2   0       0       110
1	3	0.182	549.4	28.9
2  -2	0.224	2299.5	163.6
2  -1	0.217	41160.6	452.8
2	0	0.218	5882.5	100.3
2	1	0.228	11102.8	201.9
2	2	0.246	4324.0	115.8
2	3	0.270	1524.0	11.3
2	4	0.298	605.4	29.5
2	5	0.329	225.8	60.8
2	6	0.363	120.5	20.1
3  -2	0.326	7845.5	385.8
3  -1	0.324	14985.9	273.6
3	0	0.326	1234.3	86.7
3	1	0	    0	    359
3	2	0.350	737.6	36.4
3	3	0.368	1312.0	30.2
3	4	0.392	1199.3	30.3
3	5	0.418	649.2	16.0
3	6	0.446	219.8	31.4
4  -3	0.437	3771.1	212.5
4  -2	0.432	13041.7	328.0
4  -1	0.431	3632.0	287.4
4	0	0.435	1870.4	22.4
4	1	0.443	369.4	58.7
4	2	0.456	693.1	38.2
4	3	0.000	0.0	    30
4	4	0.493	65.1	12.4
4	5	0.514	121.8	11.4
4	6	0.539	45.1	49.6
5  -3	0.541	1731.2	136.6
5  -2	0.539	1893.7	52.2
5  -1	0.540	398.8	21.4
5	0	0.544	304.0	4.7
5	1	0.551	288.7	16.2
6  -4	0.652	248.3	17.4
6  -3	0.648	251.1	14.5
6  -2	0.646	104.9	18.7
6  -1	0.648	84.6	15.6
6	0	0.653	83.6	6.5
6	1	0.660	106.4	7.8
6	2	0.671	0.0	    6
6	3	0.684	86.5	4.4
6	4	0.700	81.1	5.8
7  -4	0.757	707.3	19.5
7  -3	0.754	470.1	23.5
7  -2	0.754	127.7	62.1
7  -1	0.756	91.2	9.5
7	0	0.760	56.5	2.8
8   0   0       0       5
9  -5	0.975	264.8	49.6
9  -4	0.973	223.6	39.7
9  -3	0	    0.0     78	 
9  -2	0.973	65.0	18.8
9  -1	0	    0.0	    20
9	0	0.981	34.0	20.0
