 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -41.87
 1  0  0.109  100.00  -91.70
 1  1  0.122   44.37   38.43
 1  2  0.000    0.00  -14.78
 1  3  0.182   10.04    2.51
 2 -2  0.224   19.55   -8.29
 2 -1  0.217   80.42  -37.91
 2  0  0.218   30.88  -36.25
 2  1  0.228   42.99   57.17
 2  2  0.246   27.15  -57.73
 2  3  0.270   15.83   37.45
 2  4  0.298    9.57  -10.39
 2  5  0.329    6.54   -6.48
 3 -2  0.326   36.45    7.50
 3 -1  0.324   50.72   16.27
 3  0  0.326   14.48   -0.91
 3  1  0.335    8.02  -12.77
 3  2  0.350   11.36   17.84
 3  3  0.368   14.96  -11.92
 3  4  0.392   14.07    2.82
 3  5  0.418    8.96    0.60
 4 -3  0.437   25.87  -44.35
 4 -2  0.432   47.09  -85.02
 4 -1  0.431   24.92  -33.22
 4  0  0.435   18.29   27.33
 4  1  0.443    8.65    0.99
 4  2  0.456   10.57  -24.11
 4  4  0.493    3.42  -13.97
 4  5  0.514    4.66    2.14
 4  6  0.539    2.83    0.57
 5 -3  0.541   17.38    1.64
 5 -2  0.539   18.55   -8.44
 5 -1  0.540    8.68    2.60
 5  0  0.544    7.39   10.60
 5  1  0.551    7.56  -15.11
 6 -4  0.652    6.34  -16.81
 6 -3  0.648    6.32  -12.64
 6 -2  0.646    4.31   -0.01
 6 -1  0.647    1.38   -3.42
 6  0  0.653    4.16    0.74
 6  1  0.659    1.52    5.46
 6  3  0.684   10.66   -1.92
 6  4  0.700   11.95    7.75
