 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -79.08
 1  0  0.109  100.00  -99.93
 1  1  0.122   44.37   30.22
 1  2  0.000    0.00  -10.94
 1  3  0.182   10.04    2.35
 2 -2  0.224   19.55  -28.24
 2 -1  0.217   80.42  -80.24
 2  0  0.218   30.88  -31.15
 2  1  0.228   42.99   34.03
 2  2  0.246   27.15  -31.39
 2  3  0.270   15.83   25.12
 2  4  0.298    9.57  -17.01
 2  5  0.329    6.54    9.16
 3 -2  0.326   36.45   42.16
 3 -1  0.324   50.72   43.40
 3  0  0.326   14.48  -10.49
 3  1  0.335    8.02   -1.74
 3  2  0.350   11.36    9.14
 3  3  0.368   14.96  -13.09
 3  4  0.392   14.07   14.02
 3  5  0.418    8.96  -12.55
 4 -3  0.437   25.87  -26.88
 4 -2  0.432   47.09  -58.77
 4 -1  0.431   24.92  -16.78
 4  0  0.435   18.29   17.00
 4  1  0.443    8.65  -12.99
 4  2  0.456   10.57    7.31
 4  4  0.493    3.42   -3.35
 4  5  0.514    4.66    6.46
 4  6  0.539    2.83   -7.66
 5 -3  0.541   17.38  -19.61
 5 -2  0.539   18.55  -19.57
 5 -1  0.540    8.68    5.72
 5  0  0.544    7.39    0.55
 5  1  0.551    7.56   -5.07
 6 -4  0.652    6.34   -4.14
 6 -3  0.648    6.32   -7.17
 6 -2  0.646    4.31   -1.49
 6 -1  0.647    1.38    1.42
 6  0  0.653    4.16   -0.92
 6  1  0.659    1.52    0.41
 6  3  0.684   10.66   -0.06
 6  4  0.700   11.95    0.00
