 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -56.87
 1  0  0.109  100.00 -100.44
 1  1  0.122   44.37   38.72
 1  2  0.000    0.00  -25.42
 1  3  0.182   10.04   18.02
 2 -2  0.224   19.55   -5.78
 2 -1  0.217   80.42  -71.88
 2  0  0.218   30.88  -29.59
 2  1  0.228   42.99   25.72
 2  2  0.246   27.15  -24.43
 2  3  0.270   15.83   22.78
 2  4  0.298    9.57  -20.28
 2  5  0.329    6.54   16.98
 3 -2  0.326   36.45   26.24
 3 -1  0.324   50.72   45.40
 3  0  0.326   14.48   -5.95
 3  1  0.335    8.02   -2.58
 3  2  0.350   11.36    7.54
 3  3  0.368   14.96  -10.82
 3  4  0.392   14.07   12.72
 3  5  0.418    8.96  -13.33
 4 -3  0.437   25.87   -0.27
 4 -2  0.432   47.09  -42.92
 4 -1  0.431   24.92  -21.56
 4  0  0.435   18.29   12.13
 4  1  0.443    8.65   -7.26
 4  2  0.456   10.57    2.96
 4  4  0.493    3.42   -4.78
 4  5  0.514    4.66    7.77
 4  6  0.539    2.83   -9.81
 5 -3  0.541   17.38  -13.44
 5 -2  0.539   18.55  -29.39
 5 -1  0.540    8.68    0.83
 5  0  0.544    7.39    3.08
 5  1  0.551    7.56   -4.50
 6 -4  0.652    6.34    0.27
 6 -3  0.648    6.32   -3.63
 6 -2  0.646    4.31   -2.35
 6 -1  0.647    1.38    1.00
 6  0  0.653    4.16   -0.45
 6  1  0.659    1.52    0.07
 6  3  0.684   10.66   -0.37
 6  4  0.700   11.95    0.42
