 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -89.16
 1  0  0.109  100.00 -100.11
 1  1  0.122   44.37   24.66
 1  2  0.000    0.00   -3.78
 1  3  0.182   10.04   -4.49
 2 -2  0.224   19.55  -26.64
 2 -1  0.217   80.42  -69.29
 2  0  0.218   30.88  -30.97
 2  1  0.228   42.99   35.39
 2  2  0.246   27.15  -32.76
 2  3  0.270   15.83   24.78
 2  4  0.298    9.57  -13.47
 2  5  0.329    6.54    1.57
 3 -2  0.326   36.45   42.10
 3 -1  0.324   50.72   42.78
 3  0  0.326   14.48  -10.56
 3  1  0.335    8.02   -2.54
 3  2  0.350   11.36   10.67
 3  3  0.368   14.96  -14.80
 3  4  0.392   14.07   15.26
 3  5  0.418    8.96  -12.78
 4 -3  0.437   25.87  -29.54
 4 -2  0.432   47.09  -53.52
 4 -1  0.431   24.92  -15.83
 4  0  0.435   18.29   16.48
 4  1  0.443    8.65  -12.51
 4  2  0.456   10.57    7.00
 4  4  0.493    3.42   -2.21
 4  5  0.514    4.66    4.08
 4  6  0.539    2.83   -4.00
 5 -3  0.541   17.38  -22.90
 5 -2  0.539   18.55  -22.10
 5 -1  0.540    8.68    7.13
 5  0  0.544    7.39    0.49
 5  1  0.551    7.56   -6.43
 6 -4  0.652    6.34   -3.22
 6 -3  0.648    6.32   -4.72
 6 -2  0.646    4.31   -1.02
 6 -1  0.647    1.38    1.17
 6  0  0.653    4.16   -0.92
 6  1  0.659    1.52    0.57
 6  3  0.684   10.66   -0.16
 6  4  0.700   11.95    0.52
