 h  k      q   F_exp F_model
 1 -1  0.111   85.48  -51.13
 1  0  0.109  100.00  -91.30
 1  1  0.122   44.37   34.47
 1  2  0.000    0.00  -12.15
 1  3  0.182   10.04    1.86
 2 -2  0.224   19.55  -12.91
 2 -1  0.217   80.42  -45.25
 2  0  0.218   30.88  -36.52
 2  1  0.228   42.99   53.79
 2  2  0.246   27.15  -49.99
 2  3  0.270   15.83   29.43
 2  4  0.298    9.57   -6.56
 2  5  0.329    6.54   -5.53
 3 -2  0.326   36.45    8.41
 3 -1  0.324   50.72   15.07
 3  0  0.326   14.48   -1.21
 3  1  0.335    8.02  -10.42
 3  2  0.350   11.36   14.06
 3  3  0.368   14.96   -8.88
 3  4  0.392   14.07    1.93
 3  5  0.418    8.96    0.31
 4 -3  0.437   25.87  -54.56
 4 -2  0.432   47.09  -90.57
 4 -1  0.431   24.92  -30.57
 4  0  0.435   18.29   27.08
 4  1  0.443    8.65    0.29
 4  2  0.456   10.57  -22.86
 4  4  0.493    3.42  -14.51
 4  5  0.514    4.66    3.41
 4  6  0.539    2.83    0.06
 5 -3  0.541   17.38   -5.71
 5 -2  0.539   18.55  -13.82
 5 -1  0.540    8.68    4.26
 5  0  0.544    7.39   10.96
 5  1  0.551    7.56  -15.58
 6 -4  0.652    6.34  -16.19
 6 -3  0.648    6.32   -9.37
 6 -2  0.646    4.31    0.44
 6 -1  0.647    1.38   -3.49
 6  0  0.653    4.16    1.03
 6  1  0.659    1.52    4.49
 6  3  0.684   10.66   -1.52
 6  4  0.700   11.95    5.96
